,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,registrados,total,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
242,243,1,26.9,30.6,60.0,5.6,688,4370,5058,2018-08-31,,0,2018,verano,8,4,1
243,244,1,26.9,30.7,64.0,9.5,783,4332,5115,2018-09-01,,0,2018,verano,9,5,0
244,245,2,26.4,30.2,73.0,9.4,875,3852,4727,2018-09-02,,0,2018,verano,9,6,0
245,246,1,27.4,31.7,72.0,12.4,1935,2549,4484,2018-09-03,Labor Day,1,2018,verano,9,0,0
246,247,1,29.1,33.3,74.0,13.8,2521,2419,4940,2018-09-04,,0,2018,verano,9,1,1
247,248,2,27.6,31.3,79.0,14.3,1236,2115,3351,2018-09-05,,0,2018,verano,9,2,1
248,249,3,22.1,25.8,89.0,23.0,204,2506,2710,2018-09-06,,0,2018,verano,9,3,1
249,250,3,24.6,27.2,92.0,6.5,118,1878,1996,2018-09-07,,0,2018,verano,9,4,1
250,251,3,26.0,27.8,94.0,12.9,153,1689,1842,2018-09-08,,0,2018,verano,9,5,0
251,252,2,26.6,28.9,90.0,8.3,417,3127,3544,2018-09-09,,0,2018,verano,9,6,0
252,253,1,27.1,30.4,75.0,10.3,1750,3595,5345,2018-09-10,,0,2018,verano,9,0,1
253,254,1,26.8,30.5,71.0,7.7,1633,3413,5046,2018-09-11,,0,2018,verano,9,1,1
254,255,1,26.4,30.1,69.0,6.0,690,4023,4713,2018-09-12,,0,2018,verano,9,2,1
255,256,1,26.7,30.2,71.0,9.5,701,4062,4763,2018-09-13,,0,2018,verano,9,3,1
256,257,1,27.6,31.3,70.0,11.2,647,4138,4785,2018-09-14,,0,2018,verano,9,4,1
257,258,2,23.7,27.7,71.0,18.2,428,3231,3659,2018-09-15,,0,2018,verano,9,5,0
258,259,2,19.2,23.1,59.0,11.0,742,4018,4760,2018-09-16,,0,2018,verano,9,6,0
259,260,2,20.2,23.9,72.0,12.7,1434,3077,4511,2018-09-17,,0,2018,verano,9,0,1
260,261,1,20.8,24.5,70.0,12.0,1353,2921,4274,2018-09-18,,0,2018,verano,9,1,1
261,262,2,22.5,26.5,69.0,10.2,691,3848,4539,2018-09-19,,0,2018,verano,9,2,1
262,263,2,23.0,26.6,88.0,9.0,438,3203,3641,2018-09-20,,0,2018,verano,9,3,1
263,264,2,24.4,27.5,90.0,6.5,539,3813,4352,2018-09-21,,0,2018,verano,9,4,1
264,265,2,25.8,27.7,90.0,8.6,555,4240,4795,2018-09-22,,0,2018,verano,9,5,0
265,266,2,25.0,26.1,97.0,5.3,258,2137,2395,2018-09-23,,0,2018,otoño,9,6,0
266,267,2,24.9,28.2,86.0,5.3,1776,3647,5423,2018-09-24,,0,2018,otoño,9,0,1
267,268,2,26.0,28.6,84.0,3.4,1544,3466,5010,2018-09-25,,0,2018,otoño,9,1,1
268,269,2,26.6,29.5,85.0,7.4,684,3946,4630,2018-09-26,,0,2018,otoño,9,2,1
269,270,2,26.1,28.7,89.0,7.9,477,3643,4120,2018-09-27,,0,2018,otoño,9,3,1
270,271,2,26.0,28.8,85.0,10.0,480,3427,3907,2018-09-28,,0,2018,otoño,9,4,1
271,272,1,25.3,28.7,70.0,11.6,653,4186,4839,2018-09-29,,0,2018,otoño,9,5,0
272,273,1,23.1,27.2,65.0,13.8,830,4372,5202,2018-09-30,,0,2018,otoño,9,6,0
273,274,2,16.8,20.6,75.0,19.6,480,1949,2429,2018-10-01,,0,2018,otoño,10,0,1
274,275,2,14.6,17.3,79.0,14.9,616,2302,2918,2018-10-02,,0,2018,otoño,10,1,1
275,276,2,15.8,19.6,76.0,5.6,330,3240,3570,2018-10-03,,0,2018,otoño,10,2,1
276,277,1,19.8,23.6,71.0,13.8,486,3970,4456,2018-10-04,,0,2018,otoño,10,3,1
277,278,1,22.1,26.4,65.0,11.9,559,4267,4826,2018-10-05,,0,2018,otoño,10,4,1
278,279,1,20.3,24.0,62.0,9.0,639,4126,4765,2018-10-06,,0,2018,otoño,10,5,0
279,280,1,20.9,25.2,68.0,1.5,949,4036,4985,2018-10-07,,0,2018,otoño,10,6,0
280,281,1,21.4,25.7,70.0,3.0,2235,3174,5409,2018-10-08,Columbus Day,1,2018,otoño,10,0,0
281,282,1,22.2,26.2,73.0,4.3,2397,3114,5511,2018-10-09,,0,2018,otoño,10,1,1
282,283,1,23.4,27.1,73.0,2.8,1514,3603,5117,2018-10-10,,0,2018,otoño,10,2,1
283,284,2,23.2,27.3,81.0,9.6,667,3896,4563,2018-10-11,,0,2018,otoño,10,3,1
284,285,3,22.3,25.9,91.0,16.6,217,2199,2416,2018-10-12,,0,2018,otoño,10,4,1
285,286,2,24.2,27.6,90.0,9.5,290,2623,2913,2018-10-13,,0,2018,otoño,10,5,0
286,287,2,22.6,26.5,72.0,15.0,529,3115,3644,2018-10-14,,0,2018,otoño,10,6,0
287,288,1,20.8,24.9,48.0,17.3,1899,3318,5217,2018-10-15,,0,2018,otoño,10,0,1
288,289,1,21.0,25.2,49.0,18.9,1748,3293,5041,2018-10-16,,0,2018,otoño,10,1,1
289,290,1,21.9,25.5,58.0,11.8,713,3857,4570,2018-10-17,,0,2018,otoño,10,2,1
290,291,2,21.8,26.1,70.0,7.4,637,4111,4748,2018-10-18,,0,2018,otoño,10,3,1
291,292,3,22.2,25.7,90.0,16.3,254,2170,2424,2018-10-19,,0,2018,otoño,10,4,1
292,293,1,19.5,23.3,64.0,28.3,471,3724,4195,2018-10-20,,0,2018,otoño,10,5,0
293,294,1,17.5,21.2,57.0,14.8,676,3628,4304,2018-10-21,,0,2018,otoño,10,6,0
294,295,1,17.3,21.3,63.0,6.2,1499,2809,4308,2018-10-22,,0,2018,otoño,10,0,1
295,296,1,17.3,21.1,74.0,6.7,1619,2762,4381,2018-10-23,,0,2018,otoño,10,1,1
296,297,1,19.0,22.9,77.0,8.0,699,3488,4187,2018-10-24,,0,2018,otoño,10,2,1
297,298,1,19.3,23.2,62.0,11.2,695,3992,4687,2018-10-25,,0,2018,otoño,10,3,1
298,299,2,19.8,23.6,72.0,10.0,404,3490,3894,2018-10-26,,0,2018,otoño,10,4,1
299,300,2,19.3,22.9,81.0,13.3,240,2419,2659,2018-10-27,,0,2018,otoño,10,5,0
300,301,2,13.6,15.9,59.0,15.4,456,3291,3747,2018-10-28,,0,2018,otoño,10,6,0
301,302,3,10.4,11.4,88.0,23.5,57,570,627,2018-10-29,,0,2018,otoño,10,0,1
302,303,1,13.1,16.1,62.0,11.8,885,2446,3331,2018-10-30,,0,2018,otoño,10,1,1
303,304,1,13.9,17.8,70.0,7.1,362,3307,3669,2018-10-31,,0,2018,otoño,10,2,1
304,305,1,16.4,19.9,68.0,9.1,410,3658,4068,2018-11-01,,0,2018,otoño,11,3,1
305,306,1,15.5,19.5,72.0,5.5,370,3816,4186,2018-11-02,,0,2018,otoño,11,4,1
306,307,1,16.7,20.3,70.0,9.2,318,3656,3974,2018-11-03,,0,2018,otoño,11,5,0
307,308,2,16.5,20.2,62.0,18.2,470,3576,4046,2018-11-04,,0,2018,otoño,11,6,0
308,309,1,13.4,16.2,52.0,12.7,1156,2770,3926,2018-11-05,,0,2018,otoño,11,0,1
309,310,1,14.3,18.1,73.0,6.2,952,2697,3649,2018-11-06,,0,2018,otoño,11,1,1
310,311,1,16.2,20.0,76.0,3.8,373,3662,4035,2018-11-07,,0,2018,otoño,11,2,1
311,312,1,16.7,20.6,72.0,4.6,376,3829,4205,2018-11-08,,0,2018,otoño,11,3,1
312,313,1,16.4,20.5,76.0,4.2,305,3804,4109,2018-11-09,,0,2018,otoño,11,4,1
313,314,2,15.6,18.7,81.0,12.7,190,2743,2933,2018-11-10,,0,2018,otoño,11,5,0
314,315,1,13.3,15.3,45.0,21.1,440,2928,3368,2018-11-11,Veterans Day,1,2018,otoño,11,6,0
315,316,1,14.6,17.9,55.0,14.2,1275,2792,4067,2018-11-12,Veterans Day (Observed),1,2018,otoño,11,0,0
316,317,1,18.1,21.5,46.0,18.9,1004,2713,3717,2018-11-13,,0,2018,otoño,11,1,1
317,318,1,21.7,26.2,59.0,20.5,595,3891,4486,2018-11-14,,0,2018,otoño,11,2,1
318,319,2,21.7,25.4,69.0,13.4,449,3746,4195,2018-11-15,,0,2018,otoño,11,3,1
319,320,3,18.7,22.6,93.0,9.2,145,1672,1817,2018-11-16,,0,2018,otoño,11,4,1
320,321,2,14.0,16.2,58.0,20.5,139,2914,3053,2018-11-17,,0,2018,otoño,11,5,0
321,322,1,11.2,13.6,41.0,11.3,245,3147,3392,2018-11-18,,0,2018,otoño,11,6,0
322,323,1,13.5,16.2,50.0,15.0,943,2720,3663,2018-11-19,,0,2018,otoño,11,0,1
323,324,2,19.0,22.9,68.0,12.5,787,2733,3520,2018-11-20,,0,2018,otoño,11,1,1
324,325,3,18.4,22.3,91.0,9.2,220,2545,2765,2018-11-21,,0,2018,otoño,11,2,1
325,326,3,17.1,21.1,96.0,8.0,69,1538,1607,2018-11-22,Thanksgiving,1,2018,otoño,11,3,0
326,327,2,18.1,21.5,76.0,22.5,112,2454,2566,2018-11-23,,0,2018,otoño,11,4,1
327,328,1,15.3,18.6,55.0,11.2,560,935,1495,2018-11-24,,0,2018,otoño,11,5,0
328,329,1,15.4,19.0,64.0,6.6,1095,1697,2792,2018-11-25,,0,2018,otoño,11,6,0
329,330,1,15.4,19.3,68.0,4.6,1249,1819,3068,2018-11-26,,0,2018,otoño,11,0,1
330,331,1,18.8,22.8,70.0,14.0,810,2261,3071,2018-11-27,,0,2018,otoño,11,1,1
331,332,1,20.6,24.5,74.0,9.5,253,3614,3867,2018-11-28,,0,2018,otoño,11,2,1
332,333,2,18.8,22.6,83.0,17.3,96,2818,2914,2018-11-29,,0,2018,otoño,11,3,1
333,334,1,13.3,15.6,61.0,18.2,188,3425,3613,2018-11-30,,0,2018,otoño,11,4,1
334,335,1,12.8,15.3,52.0,14.8,182,3545,3727,2018-12-01,,0,2018,otoño,12,5,0
335,336,1,12.9,16.6,63.0,6.8,268,3672,3940,2018-12-02,,0,2018,otoño,12,6,0
336,337,1,12.3,15.5,61.0,6.4,706,2908,3614,2018-12-03,,0,2018,otoño,12,0,1
337,338,1,13.6,17.5,78.0,5.6,634,2851,3485,2018-12-04,,0,2018,otoño,12,1,1
338,339,2,15.8,19.7,83.0,4.2,233,3578,3811,2018-12-05,,0,2018,otoño,12,2,1
339,340,3,19.0,22.8,95.0,15.6,126,2468,2594,2018-12-06,,0,2018,otoño,12,3,1
340,341,3,16.8,20.0,97.0,17.8,50,655,705,2018-12-07,,0,2018,otoño,12,4,1
341,342,1,10.9,12.8,58.0,16.1,150,3172,3322,2018-12-08,,0,2018,otoño,12,5,0
342,343,1,11.9,15.9,70.0,5.5,261,3359,3620,2018-12-09,,0,2018,otoño,12,6,0
343,344,1,11.3,13.3,51.0,15.6,502,2688,3190,2018-12-10,,0,2018,otoño,12,0,1
344,345,1,9.0,12.7,49.0,4.5,377,2366,2743,2018-12-11,,0,2018,otoño,12,1,1
345,346,1,9.8,13.5,67.0,4.3,143,3167,3310,2018-12-12,,0,2018,otoño,12,2,1
346,347,1,11.6,15.1,59.0,9.4,155,3368,3523,2018-12-13,,0,2018,otoño,12,3,1
347,348,2,13.0,16.9,66.0,4.1,178,3562,3740,2018-12-14,,0,2018,otoño,12,4,1
348,349,2,17.3,20.6,63.0,18.0,181,3528,3709,2018-12-15,,0,2018,otoño,12,5,0
349,350,2,15.4,18.0,50.0,17.5,178,3399,3577,2018-12-16,,0,2018,otoño,12,6,0
350,351,2,10.6,12.5,56.0,16.3,275,2464,2739,2018-12-17,,0,2018,otoño,12,0,1
351,352,1,9.8,12.3,59.0,11.4,220,2211,2431,2018-12-18,,0,2018,otoño,12,1,1
352,353,1,11.3,14.0,64.0,11.6,260,3143,3403,2018-12-19,,0,2018,otoño,12,2,1
353,354,2,15.8,19.8,60.0,4.1,216,3534,3750,2018-12-20,,0,2018,otoño,12,3,1
354,355,2,17.6,21.4,86.0,14.8,107,2553,2660,2018-12-21,,0,2018,invierno,12,4,1
355,356,2,17.4,21.3,76.0,3.2,227,2841,3068,2018-12-22,,0,2018,invierno,12,5,0
356,357,1,15.3,18.9,69.0,18.4,163,2046,2209,2018-12-23,,0,2018,invierno,12,6,0
357,358,1,12.4,15.0,54.0,12.8,155,856,1011,2018-12-24,,0,2018,invierno,12,0,1
358,359,1,11.3,14.0,68.0,10.4,303,451,754,2018-12-25,Christmas Day,1,2018,invierno,12,1,0
359,360,1,13.2,15.8,51.0,16.0,430,887,1317,2018-12-26,,0,2018,invierno,12,2,1
360,361,2,13.3,16.4,76.0,12.6,103,1059,1162,2018-12-27,,0,2018,invierno,12,3,1
361,362,1,12.3,14.0,50.0,19.7,255,2047,2302,2018-12-28,,0,2018,invierno,12,4,1
362,363,1,10.2,13.2,57.0,8.0,254,2169,2423,2018-12-29,,0,2018,invierno,12,5,0
363,364,1,12.8,15.9,64.0,9.0,491,2508,2999,2018-12-30,,0,2018,invierno,12,6,0
364,365,1,16.8,20.7,62.0,14.8,665,1820,2485,2018-12-31,,0,2018,invierno,12,0,1
365,366,1,15.2,18.8,69.0,12.9,686,1608,2294,2019-01-01,New Year's Day,1,2019,invierno,1,1,0
366,367,1,11.2,12.6,38.0,22.1,244,1707,1951,2019-01-02,,0,2019,invierno,1,2,1
367,368,1,6.2,6.3,44.0,24.5,89,2147,2236,2019-01-03,,0,2019,invierno,1,3,1
368,369,2,4.4,6.0,41.0,12.4,95,2273,2368,2019-01-04,,0,2019,invierno,1,4,1
369,370,1,10.9,13.9,52.0,8.7,140,3132,3272,2019-01-05,,0,2019,invierno,1,5,0
370,371,1,13.7,17.0,54.0,11.2,307,3791,4098,2019-01-06,,0,2019,invierno,1,6,0
371,372,1,16.1,19.5,53.0,11.7,1070,3451,4521,2019-01-07,,0,2019,invierno,1,0,1
372,373,1,13.8,17.0,46.0,12.8,599,2826,3425,2019-01-08,,0,2019,invierno,1,1,1
373,374,2,9.2,12.4,70.0,6.6,106,2270,2376,2019-01-09,,0,2019,invierno,1,2,1
374,375,1,12.7,15.9,65.0,12.6,173,3425,3598,2019-01-10,,0,2019,invierno,1,3,1
375,376,2,11.2,14.1,85.0,8.8,92,2085,2177,2019-01-11,,0,2019,invierno,1,4,1
376,377,2,15.7,19.1,80.0,12.1,269,3828,4097,2019-01-12,,0,2019,invierno,1,5,0
377,378,1,11.2,12.5,51.0,25.3,174,3040,3214,2019-01-13,,0,2019,invierno,1,6,0
378,379,1,7.4,9.2,46.0,12.5,333,2160,2493,2019-01-14,,0,2019,invierno,1,0,1
379,380,1,6.8,8.1,42.0,16.8,284,2027,2311,2019-01-15,,0,2019,invierno,1,1,1
380,381,1,7.8,9.5,52.0,15.5,217,2081,2298,2019-01-16,,0,2019,invierno,1,2,1
381,382,2,15.3,18.2,72.0,23.4,127,2808,2935,2019-01-17,,0,2019,invierno,1,3,1
382,383,1,12.4,13.8,44.0,27.8,109,3267,3376,2019-01-18,,0,2019,invierno,1,4,1
383,384,1,7.8,9.5,50.0,14.8,130,3162,3292,2019-01-19,,0,2019,invierno,1,5,0
384,385,2,8.9,11.0,45.0,13.6,115,3048,3163,2019-01-20,,0,2019,invierno,1,6,0
385,386,2,7.1,8.7,83.0,14.9,67,1234,1301,2019-01-21,Martin Luther King Jr. Day,1,2019,invierno,1,0,0
386,387,2,6.7,8.1,80.0,13.4,196,1781,1977,2019-01-22,,0,2019,invierno,1,1,1
387,388,2,9.0,12.2,91.0,7.4,145,2287,2432,2019-01-23,,0,2019,invierno,1,2,1
388,389,1,14.0,17.5,84.0,8.3,439,3900,4339,2019-01-24,,0,2019,invierno,1,3,1
389,390,1,12.1,14.7,64.0,10.8,467,3803,4270,2019-01-25,,0,2019,invierno,1,4,1
390,391,2,14.0,17.8,77.0,4.9,244,3831,4075,2019-01-26,,0,2019,invierno,1,5,0
391,392,2,17.4,20.8,74.0,23.0,269,3187,3456,2019-01-27,,0,2019,invierno,1,6,0
392,393,1,13.0,16.3,54.0,14.1,775,3248,4023,2019-01-28,,0,2019,invierno,1,0,1
393,394,1,11.6,13.6,31.0,16.1,558,2685,3243,2019-01-29,,0,2019,invierno,1,1,1
394,395,1,11.0,13.1,40.0,14.5,126,3498,3624,2019-01-30,,0,2019,invierno,1,2,1
395,396,1,16.0,19.1,42.0,17.5,324,4185,4509,2019-01-31,,0,2019,invierno,1,3,1
396,397,1,19.2,23.3,51.0,12.7,304,4275,4579,2019-02-01,,0,2019,invierno,2,4,1
397,398,2,16.4,19.9,67.0,12.5,190,3571,3761,2019-02-02,,0,2019,invierno,2,5,0
398,399,1,12.8,15.5,53.0,12.0,310,3841,4151,2019-02-03,,0,2019,invierno,2,6,0
399,400,2,10.8,13.6,78.0,8.2,384,2448,2832,2019-02-04,,0,2019,invierno,2,0,1
400,401,2,10.9,13.2,69.0,11.8,318,2629,2947,2019-02-05,,0,2019,invierno,2,1,1
401,402,1,11.6,14.8,62.0,10.3,206,3578,3784,2019-02-06,,0,2019,invierno,2,2,1
402,403,1,14.5,18.1,50.0,9.9,199,4176,4375,2019-02-07,,0,2019,invierno,2,3,1
403,404,2,10.5,13.3,72.0,9.0,109,2693,2802,2019-02-08,,0,2019,invierno,2,4,1
404,405,1,10.9,13.1,56.0,13.0,163,3667,3830,2019-02-09,,0,2019,invierno,2,5,0
405,406,2,11.5,14.7,54.0,7.8,227,3604,3831,2019-02-10,,0,2019,invierno,2,6,0
406,407,3,9.2,10.5,73.0,19.4,192,1977,2169,2019-02-11,,0,2019,invierno,2,0,1
407,408,1,5.2,5.1,46.0,27.4,73,1456,1529,2019-02-12,,0,2019,invierno,2,1,1
408,409,1,9.1,11.4,41.0,11.2,94,3328,3422,2019-02-13,,0,2019,invierno,2,2,1
409,410,2,13.1,16.7,51.0,9.5,135,3787,3922,2019-02-14,,0,2019,invierno,2,3,1
410,411,1,14.3,17.6,53.0,12.2,141,4028,4169,2019-02-15,,0,2019,invierno,2,4,1
411,412,2,13.0,16.5,75.0,6.1,74,2931,3005,2019-02-16,,0,2019,invierno,2,5,0
412,413,1,14.1,17.6,63.0,13.8,349,3805,4154,2019-02-17,,0,2019,invierno,2,6,0
413,414,1,14.2,17.8,53.0,12.8,1435,2883,4318,2019-02-18,Washington's Birthday,1,2019,invierno,2,0,0
414,415,2,11.5,13.3,52.0,17.0,618,2071,2689,2019-02-19,,0,2019,invierno,2,1,1
415,416,1,11.5,13.7,51.0,15.3,502,2627,3129,2019-02-20,,0,2019,invierno,2,2,1
416,417,1,11.8,14.8,59.0,13.8,163,3614,3777,2019-02-21,,0,2019,invierno,2,3,1
417,418,1,16.2,19.6,57.0,15.7,394,4379,4773,2019-02-22,,0,2019,invierno,2,4,1
418,419,1,18.6,22.2,55.0,12.8,516,4546,5062,2019-02-23,,0,2019,invierno,2,5,0
419,420,2,16.7,20.5,74.0,15.9,246,3241,3487,2019-02-24,,0,2019,invierno,2,6,0
420,421,1,11.9,12.8,40.0,28.3,317,2415,2732,2019-02-25,,0,2019,invierno,2,0,1
421,422,1,11.4,13.4,41.0,13.8,515,2874,3389,2019-02-26,,0,2019,invierno,2,1,1
422,423,1,15.0,17.9,49.0,18.0,253,4069,4322,2019-02-27,,0,2019,invierno,2,2,1
423,424,1,14.7,17.7,40.0,13.0,229,4134,4363,2019-02-28,,0,2019,invierno,2,3,1
424,425,1,19.9,23.8,62.0,15.2,325,4665,4990,2019-03-01,,0,2019,invierno,3,4,1
425,426,2,14.5,18.0,66.0,9.7,246,2948,3194,2019-03-02,,0,2019,invierno,3,5,0
426,427,2,17.0,20.7,62.0,10.8,956,3110,4066,2019-03-03,,0,2019,invierno,3,6,0
427,428,1,13.4,15.2,40.0,22.4,710,2713,3423,2019-03-04,,0,2019,invierno,3,0,1
428,429,1,10.0,12.1,51.0,15.3,203,3130,3333,2019-03-05,,0,2019,invierno,3,1,1
429,430,1,10.6,12.8,46.0,13.5,221,3735,3956,2019-03-06,,0,2019,invierno,3,2,1
430,431,1,16.6,19.3,51.0,23.2,432,4484,4916,2019-03-07,,0,2019,invierno,3,3,1
431,432,1,21.6,26.2,57.0,29.6,486,4896,5382,2019-03-08,,0,2019,invierno,3,4,1
432,433,2,16.8,19.9,41.0,27.8,447,4122,4569,2019-03-09,,0,2019,invierno,3,5,0
433,434,1,11.8,13.9,35.0,15.1,968,3150,4118,2019-03-10,,0,2019,invierno,3,6,0
434,435,1,14.8,18.0,48.0,14.9,1658,3253,4911,2019-03-11,,0,2019,invierno,3,0,1
435,436,1,19.1,23.0,49.0,13.9,838,4460,5298,2019-03-12,,0,2019,invierno,3,1,1
436,437,1,23.2,27.1,62.0,15.9,762,5085,5847,2019-03-13,,0,2019,invierno,3,2,1
437,438,1,23.5,27.4,51.0,7.7,997,5315,6312,2019-03-14,,0,2019,invierno,3,3,1
438,439,1,22.9,26.6,58.0,10.0,1005,5187,6192,2019-03-15,,0,2019,invierno,3,4,1
439,440,2,17.9,21.8,84.0,7.6,548,3830,4378,2019-03-16,,0,2019,invierno,3,5,0
440,441,2,21.1,25.3,76.0,7.4,3155,4681,7836,2019-03-17,,0,2019,invierno,3,6,0
441,442,2,19.4,23.2,81.0,8.5,2207,3685,5892,2019-03-18,,0,2019,invierno,3,0,1
442,443,1,22.3,26.6,73.0,10.9,982,5171,6153,2019-03-19,,0,2019,invierno,3,1,1
443,444,1,23.0,26.9,81.0,8.1,1051,5042,6093,2019-03-20,,0,2019,invierno,3,2,1
444,445,2,21.8,25.7,82.0,6.0,1122,5108,6230,2019-03-21,,0,2019,primavera,3,3,1
445,446,1,22.7,26.6,83.0,7.9,1334,5537,6871,2019-03-22,,0,2019,primavera,3,4,1
446,447,2,24.7,28.5,69.0,7.8,2469,5893,8362,2019-03-23,,0,2019,primavera,3,5,0
447,448,2,20.6,24.3,89.0,12.9,1033,2339,3372,2019-03-24,,0,2019,primavera,3,6,0
448,449,2,17.9,21.9,88.0,14.8,1532,3464,4996,2019-03-25,,0,2019,primavera,3,0,1
449,450,1,18.3,21.9,48.0,25.9,795,4763,5558,2019-03-26,,0,2019,primavera,3,1,1
450,451,1,13.3,15.8,29.0,12.5,531,4571,5102,2019-03-27,,0,2019,primavera,3,2,1
451,452,1,19.8,23.5,48.0,19.5,674,5024,5698,2019-03-28,,0,2019,primavera,3,3,1
452,453,1,20.3,24.1,44.0,21.4,834,5299,6133,2019-03-29,,0,2019,primavera,3,4,1
453,454,2,15.2,18.8,58.0,9.3,796,4663,5459,2019-03-30,,0,2019,primavera,3,5,0
454,455,2,17.4,21.1,74.0,16.8,2301,3934,6235,2019-03-31,,0,2019,primavera,3,6,0
455,456,2,17.5,20.9,68.0,11.5,2347,3694,6041,2019-04-01,,0,2019,primavera,4,0,1
456,457,1,17.8,21.4,50.0,20.9,1208,4728,5936,2019-04-02,,0,2019,primavera,4,1,1
457,458,1,19.1,23.1,40.0,6.7,1348,5424,6772,2019-04-03,,0,2019,primavera,4,2,1
458,459,1,22.2,26.7,47.0,12.1,1058,5378,6436,2019-04-04,,0,2019,primavera,4,3,1
459,460,1,17.8,21.6,37.0,14.7,1192,5265,6457,2019-04-05,,0,2019,primavera,4,4,1
460,461,1,16.5,19.5,38.0,20.1,1807,4653,6460,2019-04-06,,0,2019,primavera,4,5,0
461,462,1,17.9,21.3,25.0,18.4,3252,3605,6857,2019-04-07,,0,2019,primavera,4,6,0
462,463,1,20.5,24.6,28.0,15.6,2230,2939,5169,2019-04-08,,0,2019,primavera,4,0,1
463,464,1,20.1,23.8,32.0,24.0,905,4680,5585,2019-04-09,,0,2019,primavera,4,1,1
464,465,1,18.3,21.8,44.0,16.7,819,5099,5918,2019-04-10,,0,2019,primavera,4,2,1
465,466,1,14.3,16.9,47.0,19.8,482,4380,4862,2019-04-11,,0,2019,primavera,4,3,1
466,467,1,16.3,19.4,47.0,19.5,663,4746,5409,2019-04-12,,0,2019,primavera,4,4,1
467,468,1,18.1,21.6,41.0,10.4,1252,5146,6398,2019-04-13,,0,2019,primavera,4,5,0
468,469,1,20.3,24.4,50.0,12.8,2795,4665,7460,2019-04-14,,0,2019,primavera,4,6,0
469,470,1,24.9,28.7,51.0,15.1,2846,4286,7132,2019-04-15,,0,2019,primavera,4,0,1
470,471,1,27.2,30.7,56.0,19.1,1198,5172,6370,2019-04-16,,0,2019,primavera,4,1,1
471,472,1,24.9,29.9,39.0,18.3,989,5702,6691,2019-04-17,,0,2019,primavera,4,2,1
472,473,2,19.0,22.9,57.0,11.3,347,4020,4367,2019-04-18,,0,2019,primavera,4,3,1
473,474,1,20.4,24.7,61.0,4.4,846,5719,6565,2019-04-19,,0,2019,primavera,4,4,1
474,475,1,21.6,25.8,69.0,10.0,1340,5950,7290,2019-04-20,,0,2019,primavera,4,5,0
475,476,1,23.4,27.1,68.0,19.0,2541,4083,6624,2019-04-21,,0,2019,primavera,4,6,0
476,477,3,16.3,19.5,84.0,23.1,120,907,1027,2019-04-22,,0,2019,primavera,4,0,1
477,478,2,13.2,15.1,77.0,20.3,195,3019,3214,2019-04-23,,0,2019,primavera,4,1,1
478,479,1,17.0,20.3,45.0,16.7,518,5115,5633,2019-04-24,,0,2019,primavera,4,2,1
479,480,1,19.5,23.5,43.0,8.0,655,5541,6196,2019-04-25,,0,2019,primavera,4,3,1
480,481,2,20.4,24.2,76.0,11.8,475,4551,5026,2019-04-26,,0,2019,primavera,4,4,1
481,482,1,18.8,22.6,40.0,23.3,1014,5219,6233,2019-04-27,,0,2019,primavera,4,5,0
482,483,2,15.4,18.9,49.0,8.7,1120,3100,4220,2019-04-28,,0,2019,primavera,4,6,0
483,484,1,18.8,22.5,59.0,7.8,2229,4075,6304,2019-04-29,,0,2019,primavera,4,0,1
484,485,2,19.0,22.9,57.0,11.5,665,4907,5572,2019-04-30,,0,2019,primavera,4,1,1
