,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,ocasionales_BOX
0,1,2,14.1,18.2,81.0,10.7,331,2018-01-01,New Year's Day,1,2018,invierno,1,0,0,16.39782015107092
1,2,2,14.9,17.7,70.0,16.7,131,2018-01-02,,0,2018,invierno,1,1,1,11.472436698466694
2,3,1,8.0,9.5,44.0,16.6,120,2018-01-03,,0,2018,invierno,1,2,1,11.076034853721117
3,4,1,8.2,10.6,59.0,10.7,108,2018-01-04,,0,2018,invierno,1,3,1,10.613969754365213
4,5,1,9.3,11.5,44.0,12.5,82,2018-01-05,,0,2018,invierno,1,4,1,9.475537124796562
5,6,1,8.4,11.7,52.0,6.0,88,2018-01-06,,0,2018,invierno,1,5,0,9.758173437422366
6,7,2,8.1,10.4,50.0,11.3,148,2018-01-07,,0,2018,invierno,1,6,0,12.042276083494743
7,8,2,6.8,8.1,54.0,17.9,68,2018-01-08,,0,2018,invierno,1,0,1,8.755721974567901
8,9,1,5.7,5.8,43.0,24.3,54,2018-01-09,,0,2018,invierno,1,1,1,7.925269345882742
9,10,1,6.2,7.5,48.0,15.0,41,2018-01-10,,0,2018,invierno,1,2,1,7.008370000202964
10,11,2,6.9,9.6,69.0,8.2,43,2018-01-11,,0,2018,invierno,1,3,1,7.161347981641865
11,12,1,7.1,8.0,60.0,20.4,25,2018-01-12,,0,2018,invierno,1,4,1,5.546984704734687
12,13,1,6.8,7.5,47.0,20.2,38,2018-01-13,,0,2018,invierno,1,5,0,6.7689696416534595
13,14,1,6.6,9.4,54.0,8.5,54,2018-01-14,,0,2018,invierno,1,6,0,7.925269345882742
14,15,2,9.6,12.4,50.0,10.6,222,2018-01-15,Martin Luther King Jr. Day,1,2018,invierno,1,0,0,14.099671681576467
15,16,1,9.5,11.7,48.0,12.6,251,2018-01-16,,0,2018,invierno,1,1,1,14.775794586930813
16,17,2,7.2,8.8,54.0,13.0,117,2018-01-17,,0,2018,invierno,1,2,1,10.963610724399118
17,18,2,8.9,11.6,86.0,9.8,9,2018-01-18,,0,2018,invierno,1,3,1,3.157336502299259
18,19,2,12.0,14.9,74.0,14.0,78,2018-01-19,,0,2018,invierno,1,4,1,9.27911373862353
19,20,2,10.7,12.8,54.0,13.1,83,2018-01-20,,0,2018,invierno,1,5,0,9.523609126904327
20,21,1,7.3,7.9,46.0,23.7,75,2018-01-21,,0,2018,invierno,1,6,0,9.127200042226876
21,22,1,2.4,4.0,40.0,11.5,93,2018-01-22,,0,2018,invierno,1,0,1,9.983741675926243
22,23,1,4.0,4.9,44.0,16.5,150,2018-01-23,,0,2018,invierno,1,1,1,12.106300542521547
23,24,1,4.0,5.9,49.0,10.6,86,2018-01-24,,0,2018,invierno,1,2,1,9.665476322044512
24,25,2,9.2,11.7,62.0,8.7,186,2018-01-25,,0,2018,invierno,1,3,1,13.169792352153566
25,26,3,8.9,10.2,86.0,19.7,34,2018-01-26,,0,2018,invierno,1,4,1,6.428627270494731
26,27,1,8.0,11.0,69.0,7.6,15,2018-01-27,,0,2018,invierno,1,5,0,4.257082757297649
27,28,2,8.3,11.2,79.0,8.3,38,2018-01-28,,0,2018,invierno,1,6,0,6.7689696416534595
28,29,1,8.1,10.6,65.0,9.7,123,2018-01-29,,0,2018,invierno,1,0,1,11.18654214701248
29,30,1,8.9,12.5,72.0,5.0,140,2018-01-30,,0,2018,invierno,1,1,1,11.78005804240976
30,31,2,7.4,9.3,60.0,12.5,42,2018-01-31,,0,2018,invierno,1,2,1,7.085485343182041
31,32,2,7.9,11.7,83.0,3.6,47,2018-02-01,,0,2018,invierno,2,3,1,7.453204291142461
32,33,2,10.7,12.7,78.0,17.7,72,2018-02-02,,0,2018,invierno,2,4,1,8.971047417268762
33,34,1,7.7,8.9,44.0,18.6,61,2018-02-03,,0,2018,invierno,2,5,0,8.356921871079736
34,35,2,8.7,11.4,59.0,8.6,88,2018-02-04,,0,2018,invierno,2,6,0,9.758173437422366
35,36,2,9.6,12.2,93.0,10.8,100,2018-02-05,,0,2018,invierno,2,0,1,10.285930098515184
36,37,1,11.7,14.6,57.0,9.5,354,2018-02-06,,0,2018,invierno,2,1,1,16.813269083628796
37,38,1,11.1,15.2,74.0,3.0,120,2018-02-07,,0,2018,invierno,2,2,1,11.076034853721117
38,39,1,9.0,9.9,54.0,24.3,64,2018-02-08,,0,2018,invierno,2,3,1,8.531499219198887
39,40,2,5.5,7.2,49.0,12.7,53,2018-02-09,,0,2018,invierno,2,4,1,7.860514959708835
40,41,1,5.9,7.5,44.0,14.9,47,2018-02-10,,0,2018,invierno,2,5,0,7.453204291142461
41,42,1,7.8,10.7,51.0,7.3,149,2018-02-11,,0,2018,invierno,2,6,0,12.074362198101104
42,43,1,9.1,11.6,54.0,13.6,288,2018-02-12,,0,2018,invierno,2,0,1,15.56446083223579
43,44,1,13.0,16.2,46.0,17.5,397,2018-02-13,,0,2018,invierno,2,1,1,17.542663929866496
44,45,1,17.0,19.9,38.0,12.76479452054794,208,2018-02-14,,0,2018,invierno,2,2,1,13.75133613553182
45,46,1,10.9,12.7,31.0,19.5,140,2018-02-15,,0,2018,invierno,2,3,1,11.78005804240976
46,47,1,13.0,15.8,42.0,16.9,218,2018-02-16,,0,2018,invierno,2,4,1,14.001727063387264
47,48,1,17.9,21.4,50.0,15.4,259,2018-02-17,,0,2018,invierno,2,5,0,14.952774983724149
48,49,1,21.4,25.6,52.0,17.7,579,2018-02-18,,0,2018,invierno,2,6,0,20.136700271347188
49,50,1,16.4,19.6,62.76849315068493,12.76479452054794,532,2018-02-19,Washington's Birthday,1,2018,invierno,2,0,0,19.527875813336856
50,51,1,11.7,13.9,41.0,15.0,639,2018-02-20,,0,2018,invierno,2,1,1,20.866382160464436
51,52,2,12.4,14.2,60.0,20.6,195,2018-02-21,,0,2018,invierno,2,2,1,13.413129686804043
52,53,1,7.5,9.3,58.0,13.1,74,2018-02-22,,0,2018,invierno,2,3,1,9.075634422036053
53,54,1,9.1,12.3,42.0,6.3,139,2018-02-23,,0,2018,invierno,2,4,1,11.746562099967337
54,55,2,12.1,14.5,70.0,16.8,100,2018-02-24,,0,2018,invierno,2,5,0,10.285930098515184
55,56,2,14.9,17.5,71.0,23.2,120,2018-02-25,,0,2018,invierno,2,6,0,11.076034853721117
56,57,1,11.6,14.1,54.0,12.5,424,2018-02-26,,0,2018,invierno,2,0,1,17.973243623206308
57,58,1,14.1,17.6,68.0,8.4,694,2018-02-27,,0,2018,invierno,2,1,1,21.494924611628708
58,59,2,16.7,20.0,88.0,19.4,81,2018-02-28,,0,2018,invierno,2,2,1,9.427060202838744
59,60,1,10.9,13.2,54.0,14.5,137,2018-03-01,,0,2018,invierno,3,3,1,11.679069715724536
60,61,1,13.7,16.0,45.0,20.6,231,2018-03-02,,0,2018,invierno,3,4,1,14.315690657359912
61,62,1,8.1,10.0,32.0,15.1,123,2018-03-03,,0,2018,invierno,3,5,0,11.18654214701248
62,63,2,10.7,12.8,61.0,13.6,214,2018-03-04,,0,2018,invierno,3,6,0,13.902538463881976
63,64,2,15.8,18.9,79.0,16.9,640,2018-03-05,,0,2018,invierno,3,0,1,20.878136039229112
64,65,2,15.4,18.3,95.0,23.0,114,2018-03-06,,0,2018,invierno,3,1,1,10.849186050854563
65,66,1,10.7,11.9,55.0,22.9,244,2018-03-07,,0,2018,invierno,3,2,1,14.617725669338434
66,67,1,12.0,15.1,42.0,8.1,316,2018-03-08,,0,2018,invierno,3,3,1,16.11606027693521
67,68,2,12.1,14.3,78.0,14.8,191,2018-03-09,,0,2018,invierno,3,4,1,13.305954590260024
68,69,3,16.0,19.3,62.76849315068493,17.5,46,2018-03-10,,0,2018,invierno,3,5,0,7.381892995634633
69,70,2,13.0,15.2,65.0,15.6,247,2018-03-11,,0,2018,invierno,3,6,0,14.685846444919225
70,71,1,13.5,16.3,59.0,14.8,724,2018-03-12,,0,2018,invierno,3,0,1,21.823415468803315
71,72,1,15.8,19.0,53.0,18.1,982,2018-03-13,,0,2018,invierno,3,1,1,24.321990640981856
72,73,1,13.3,16.6,50.0,9.2,359,2018-03-14,,0,2018,invierno,3,2,1,16.9011111232223
73,74,2,13.0,15.9,66.0,12.3,289,2018-03-15,,0,2018,invierno,3,3,1,15.58478185335383
74,75,2,15.0,18.3,78.0,13.6,321,2018-03-16,,0,2018,invierno,3,4,1,16.210983104181313
75,76,1,17.0,20.5,60.0,14.0,424,2018-03-17,,0,2018,invierno,3,5,0,17.973243623206308
76,77,1,22.1,26.4,53.0,15.5,884,2018-03-18,,0,2018,invierno,3,6,0,23.433170234919448
77,78,1,19.4,23.3,38.0,24.7,1424,2018-03-19,,0,2018,invierno,3,0,1,27.708343554187053
78,79,1,13.6,16.3,47.0,13.9,1047,2018-03-20,,0,2018,invierno,3,1,1,24.878330892130574
79,80,2,17.6,20.5,74.0,19.3,401,2018-03-21,,0,2018,primavera,3,2,1,17.607699123024148
80,81,1,18.1,22.0,62.0,15.1,460,2018-03-22,,0,2018,primavera,3,3,1,18.518946950150156
81,82,2,14.2,16.9,84.0,15.7,203,2018-03-23,,0,2018,primavera,3,4,1,13.62302568669851
82,83,2,11.7,13.5,81.0,16.3,166,2018-03-24,,0,2018,primavera,3,5,0,12.598486559209865
83,84,1,10.8,12.8,50.0,15.5,300,2018-03-25,,0,2018,primavera,3,6,0,15.805185520768887
84,85,1,10.9,12.9,39.0,14.0,981,2018-03-26,,0,2018,primavera,3,0,1,24.313236396031318
85,86,2,10.4,12.5,49.0,12.3,472,2018-03-27,,0,2018,primavera,3,1,1,18.69430098058313
86,87,1,10.8,12.9,30.0,14.2,222,2018-03-28,,0,2018,primavera,3,2,1,14.099671681576467
87,88,1,12.4,14.6,31.0,15.2,317,2018-03-29,,0,2018,primavera,3,3,1,16.13512705387941
88,89,2,12.3,14.9,65.0,11.6,168,2018-03-30,,0,2018,primavera,3,4,1,12.657680730933635
89,90,3,11.0,12.9,92.0,14.6,179,2018-03-31,,0,2018,primavera,3,5,0,12.974869300592166
90,91,2,12.3,14.2,69.0,17.3,307,2018-04-01,,0,2018,primavera,4,6,0,15.94256261710444
91,92,2,12.9,15.8,65.0,13.2,898,2018-04-02,,0,2018,primavera,4,0,1,23.564163083803322
92,93,1,15.5,18.9,48.0,12.2,1651,2018-04-03,,0,2018,primavera,4,1,1,29.16929839228544
93,94,1,23.5,27.1,43.0,12.76479452054794,734,2018-04-04,,0,2018,primavera,4,2,1,21.93082900637837
94,95,2,17.0,19.9,64.0,12.76479452054794,167,2018-04-05,,0,2018,primavera,4,3,1,12.628144592995481
95,96,1,16.0,19.4,47.0,17.6,413,2018-04-06,,0,2018,primavera,4,4,1,17.80016603614257
96,97,1,17.9,21.7,60.0,10.9,571,2018-04-07,,0,2018,primavera,4,5,0,20.035534833697966
97,98,2,13.8,16.2,84.0,15.2,172,2018-04-08,,0,2018,primavera,4,6,0,12.774630478140502
98,99,2,14.0,17.1,88.0,8.9,879,2018-04-09,,0,2018,primavera,4,0,1,23.386041372438253
99,100,2,17.5,21.3,86.0,9.8,1188,2018-04-10,,0,2018,primavera,4,1,1,26.008155426024892
100,101,2,24.4,28.3,72.0,21.7,855,2018-04-11,,0,2018,primavera,4,2,1,23.157219311629966
101,102,2,20.6,24.7,74.0,18.4,257,2018-04-12,,0,2018,primavera,4,3,1,14.908886343035926
102,103,2,16.9,20.9,82.0,16.8,209,2018-04-13,,0,2018,primavera,4,4,1,13.776742994638964
103,104,1,19.2,23.1,54.0,7.4,529,2018-04-14,,0,2018,primavera,4,5,0,19.487778018067797
104,105,1,18.3,22.1,67.0,15.2,642,2018-04-15,,0,2018,primavera,4,6,0,20.901605955828177
105,106,3,17.7,21.3,89.0,22.8,121,2018-04-16,,0,2018,primavera,4,0,1,11.113079627784426
106,107,1,18.7,22.3,48.0,20.3,1558,2018-04-17,,0,2018,primavera,4,1,1,28.58858128567913
107,108,1,21.0,25.2,54.0,11.0,669,2018-04-18,,0,2018,primavera,4,2,1,21.213637959840895
108,109,2,20.7,24.5,67.0,10.6,409,2018-04-19,,0,2018,primavera,4,3,1,17.736442885382758
109,110,1,24.4,28.2,61.0,16.2,613,2018-04-20,,0,2018,primavera,4,4,1,20.556237775730427
110,111,1,18.8,22.7,41.0,21.8,745,2018-04-21,,0,2018,primavera,4,5,0,22.04782764273909
111,112,2,13.8,16.1,73.0,14.7,177,2018-04-22,,0,2018,primavera,4,6,0,12.918216096564484
112,113,2,18.9,22.5,89.0,15.5,1462,2018-04-23,,0,2018,primavera,4,0,1,27.963553673036312
113,114,2,23.8,27.6,81.0,12.9,1710,2018-04-24,,0,2018,primavera,4,1,1,29.526131634148914
114,115,1,24.9,28.7,78.0,12.4,773,2018-04-25,,0,2018,primavera,4,2,1,22.340374629654924
115,116,1,25.9,29.7,73.0,21.9,678,2018-04-26,,0,2018,primavera,4,3,1,21.315721154148726
116,117,2,25.4,28.8,84.0,20.9,547,2018-04-27,,0,2018,primavera,4,4,1,19.72606550290835
117,118,2,25.3,28.9,70.0,21.5,569,2018-04-28,,0,2018,primavera,4,5,0,20.010091317337185
118,119,1,20.9,24.9,46.0,16.1,878,2018-04-29,,0,2018,primavera,4,6,0,23.37659348724463
119,120,1,19.4,23.2,50.0,15.8,1965,2018-04-30,,0,2018,primavera,4,0,1,30.977756760975808
120,121,2,18.5,22.4,76.0,7.1,1138,2018-05-01,,0,2018,primavera,5,1,1,25.618621813127508
121,122,2,22.5,26.6,73.0,12.3,847,2018-05-02,,0,2018,primavera,5,2,1,23.07996436975643
122,123,2,25.3,29.1,70.0,23.0,603,2018-05-03,,0,2018,primavera,5,3,1,20.43454220089376
123,124,2,17.0,20.2,74.0,22.0,255,2018-05-04,,0,2018,primavera,5,4,1,14.86476215878075
124,125,1,18.8,22.1,44.0,19.8,614,2018-05-05,,0,2018,primavera,5,5,0,20.568332033916427
125,126,1,19.6,23.7,59.0,15.3,894,2018-05-06,,0,2018,primavera,5,6,0,23.526880736789884
126,127,1,21.3,25.6,54.0,10.8,1612,2018-05-07,,0,2018,primavera,5,0,1,28.928583447893377
127,128,1,21.7,25.9,63.0,5.0,1401,2018-05-08,,0,2018,primavera,5,1,1,27.5515911082642
128,129,1,21.8,26.3,59.0,11.8,664,2018-05-09,,0,2018,primavera,5,2,1,21.156516411517668
129,130,1,21.8,26.1,49.0,7.7,694,2018-05-10,,0,2018,primavera,5,3,1,21.494924611628708
130,131,1,22.2,26.4,63.0,8.1,550,2018-05-11,,0,2018,primavera,5,4,1,19.76525354547011
131,132,1,21.9,26.2,75.0,12.7,695,2018-05-12,,0,2018,primavera,5,5,0,21.506030073972326
132,133,2,21.0,24.7,86.0,12.0,692,2018-05-13,,0,2018,primavera,5,6,0,21.47268062563507
133,134,2,21.4,25.0,92.0,9.0,902,2018-05-14,,0,2018,primavera,5,0,1,23.60133138554311
134,135,2,23.1,26.8,87.0,10.2,1582,2018-05-15,,0,2018,primavera,5,1,1,28.74067805063033
135,136,1,23.7,27.5,79.0,8.5,773,2018-05-16,,0,2018,primavera,5,2,1,22.340374629654924
136,137,2,23.0,26.9,84.0,18.6,678,2018-05-17,,0,2018,primavera,5,3,1,21.315721154148726
137,138,2,22.6,26.4,87.0,13.5,536,2018-05-18,,0,2018,primavera,5,4,1,19.581098342670106
138,139,2,21.8,25.5,83.0,7.3,735,2018-05-19,,0,2018,primavera,5,5,0,21.9415148787925
139,140,1,22.0,26.5,72.0,8.4,909,2018-05-20,,0,2018,primavera,5,6,0,23.666104049985695
140,141,1,24.7,28.6,63.0,8.1,2258,2018-05-21,,0,2018,primavera,5,0,1,32.493635611282336
141,142,1,24.8,28.7,75.0,9.9,1576,2018-05-22,,0,2018,primavera,5,1,1,28.702803458400076
142,143,2,25.9,29.5,81.0,15.7,836,2018-05-23,,0,2018,primavera,5,2,1,22.97291503758539
143,144,2,27.1,30.2,74.0,13.9,659,2018-05-24,,0,2018,primavera,5,3,1,21.099098252983737
144,145,1,27.1,30.8,70.0,10.3,740,2018-05-25,,0,2018,primavera,5,4,1,21.99479477611133
145,146,1,29.0,32.7,68.0,13.4,758,2018-05-26,,0,2018,primavera,5,5,0,22.18457688355613
146,147,1,28.0,31.9,65.0,16.1,871,2018-05-27,,0,2018,primavera,5,6,0,23.31025017876754
147,148,1,26.9,30.6,73.0,15.4,2001,2018-05-28,Memorial Day,1,2018,primavera,5,0,0,31.17204917865058
148,149,1,27.4,30.8,82.0,14.3,2355,2018-05-29,,0,2018,primavera,5,1,1,32.96549803081797
149,150,1,30.1,33.6,68.0,8.8,1549,2018-05-30,,0,2018,primavera,5,2,1,28.531129586722557
150,151,1,31.8,36.3,64.0,7.5,673,2018-05-31,,0,2018,primavera,5,3,1,21.259124149551536
151,152,2,31.3,36.0,68.0,13.9,513,2018-06-01,,0,2018,primavera,6,4,1,19.27123914108854
152,153,1,29.3,32.2,30.0,19.6,736,2018-06-02,,0,2018,primavera,6,5,0,21.95219075642757
153,154,1,25.4,29.4,35.0,17.0,898,2018-06-03,,0,2018,primavera,6,6,0,23.564163083803322
154,155,1,26.0,29.7,46.0,8.3,1869,2018-06-04,,0,2018,primavera,6,0,1,30.447383980762666
155,156,2,26.6,30.8,65.0,9.3,1685,2018-06-05,,0,2018,primavera,6,1,1,29.375981589315845
156,157,1,27.8,31.1,60.0,8.2,673,2018-06-06,,0,2018,primavera,6,2,1,21.259124149551536
157,158,1,29.0,32.8,60.0,12.6,763,2018-06-07,,0,2018,primavera,6,3,1,22.23674320123708
158,159,1,31.8,36.4,62.0,9.2,676,2018-06-08,,0,2018,primavera,6,4,1,21.293116913858686
159,160,2,33.1,37.9,57.0,10.0,563,2018-06-09,,0,2018,primavera,6,5,0,19.93338978663585
160,161,1,31.0,35.2,60.0,9.4,815,2018-06-10,,0,2018,primavera,6,6,0,22.76582715788465
161,162,1,29.7,33.9,65.0,10.4,1729,2018-06-11,,0,2018,primavera,6,0,1,29.639238949011897
162,163,1,28.4,32.2,75.0,11.0,1467,2018-06-12,,0,2018,primavera,6,1,1,27.99679300534768
163,164,1,26.0,30.1,49.0,20.5,863,2018-06-13,,0,2018,primavera,6,2,1,23.23397867152947
164,165,1,24.8,29.6,51.0,18.0,727,2018-06-14,,0,2018,primavera,6,3,1,21.855746103559362
165,166,1,25.7,29.4,47.0,11.3,769,2018-06-15,,0,2018,primavera,6,4,1,22.299033346837522
166,167,2,25.8,29.8,69.0,13.8,545,2018-06-16,,0,2018,primavera,6,5,0,19.69985794668522
167,168,1,26.6,30.0,74.0,9.6,863,2018-06-17,,0,2018,primavera,6,6,0,23.23397867152947
168,169,1,28.6,32.2,67.0,8.0,1807,2018-06-18,,0,2018,primavera,6,0,1,30.094815653023783
169,170,2,28.7,32.3,67.0,6.8,1639,2018-06-19,,0,2018,primavera,6,1,1,29.095652701514325
170,171,2,26.0,29.8,75.0,10.4,699,2018-06-20,,0,2018,primavera,6,2,1,21.550342341443788
171,172,2,27.9,31.9,77.0,11.5,774,2018-06-21,,0,2018,verano,6,3,1,22.350686951070003
172,173,1,30.1,34.7,71.0,11.5,661,2018-06-22,,0,2018,verano,6,4,1,21.12210135161918
173,174,2,29.9,34.7,70.0,16.0,746,2018-06-23,,0,2018,verano,6,5,0,22.058404818947725
174,175,1,29.7,32.8,57.0,14.9,969,2018-06-24,,0,2018,verano,6,6,0,24.207703504518356
175,176,1,28.5,32.2,48.0,14.0,1782,2018-06-25,,0,2018,verano,6,0,1,29.950296245874263
176,177,1,27.9,31.9,51.0,6.3,1920,2018-06-26,,0,2018,verano,6,1,1,30.73141732555984
177,178,2,28.0,31.9,66.0,7.2,854,2018-06-27,,0,2018,verano,6,2,1,23.147589706663297
178,179,1,30.5,34.6,63.0,9.7,732,2018-06-28,,0,2018,verano,6,3,1,21.909427185155987
179,180,1,29.9,32.7,50.0,17.5,848,2018-06-29,,0,2018,verano,6,4,1,23.089648608613867
