,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,ocasionales_BOX
365,366,1,15.2,18.8,69.0,12.9,686,2019-01-01,New Year's Day,1,2019,invierno,1,1,0,21.405682232121144
366,367,1,11.2,12.6,38.0,22.1,244,2019-01-02,,0,2019,invierno,1,2,1,14.617725669338434
367,368,1,6.2,6.3,44.0,24.5,89,2019-01-03,,0,2019,invierno,1,3,1,9.803979363300463
368,369,2,4.4,6.0,41.0,12.4,95,2019-01-04,,0,2019,invierno,1,4,1,10.071633624010222
369,370,1,10.9,13.9,52.0,8.7,140,2019-01-05,,0,2019,invierno,1,5,0,11.78005804240976
370,371,1,13.7,17.0,54.0,11.2,307,2019-01-06,,0,2019,invierno,1,6,0,15.94256261710444
371,372,1,16.1,19.5,53.0,11.7,1070,2019-01-07,,0,2019,invierno,1,0,1,25.069490728614646
372,373,1,13.8,17.0,46.0,12.8,599,2019-01-08,,0,2019,invierno,1,1,1,20.385475260617483
373,374,2,9.2,12.4,70.0,6.6,106,2019-01-09,,0,2019,invierno,1,2,1,10.533569973870867
374,375,1,12.7,15.9,65.0,12.6,173,2019-01-10,,0,2019,invierno,1,3,1,12.80357508690969
375,376,2,11.2,14.1,85.0,8.8,92,2019-01-11,,0,2019,invierno,1,4,1,9.93930751344088
376,377,2,15.7,19.1,80.0,12.1,269,2019-01-12,,0,2019,invierno,1,5,0,15.168790031302237
377,378,1,11.2,12.5,51.0,25.3,174,2019-01-13,,0,2019,invierno,1,6,0,12.832404849813082
378,379,1,7.4,9.2,46.0,12.5,333,2019-01-14,,0,2019,invierno,1,0,1,16.434720152611323
379,380,1,6.8,8.1,42.0,16.8,284,2019-01-15,,0,2019,invierno,1,1,1,15.482687996367208
380,381,1,7.8,9.5,52.0,15.5,217,2019-01-16,,0,2019,invierno,1,2,1,13.977048046329125
381,382,2,15.3,18.2,72.0,23.4,127,2019-01-17,,0,2019,invierno,1,3,1,11.331038008480384
382,383,1,12.4,13.8,44.0,12.76479452054794,109,2019-01-18,,0,2019,invierno,1,4,1,10.653786062011257
383,384,1,7.8,9.5,50.0,14.8,130,2019-01-19,,0,2019,invierno,1,5,0,11.437368521418728
384,385,2,8.9,11.0,45.0,13.6,115,2019-01-20,,0,2019,invierno,1,6,0,10.88755529822592
385,386,2,7.1,8.7,83.0,14.9,67,2019-01-21,Martin Luther King Jr. Day,1,2019,invierno,1,0,0,8.700535273222862
386,387,2,6.7,8.1,80.0,13.4,196,2019-01-22,,0,2019,invierno,1,1,1,13.439686812493086
387,388,2,9.0,12.2,91.0,7.4,145,2019-01-23,,0,2019,invierno,1,2,1,11.945114071860695
388,389,1,14.0,17.5,84.0,8.3,439,2019-01-24,,0,2019,invierno,1,3,1,18.204350466623477
389,390,1,12.1,14.7,64.0,10.8,467,2019-01-25,,0,2019,invierno,1,4,1,18.62161379103075
390,391,2,14.0,17.8,77.0,4.9,244,2019-01-26,,0,2019,invierno,1,5,0,14.617725669338434
391,392,2,17.4,20.8,74.0,23.0,269,2019-01-27,,0,2019,invierno,1,6,0,15.168790031302237
392,393,1,13.0,16.3,54.0,14.1,775,2019-01-28,,0,2019,invierno,1,0,1,22.36099011289047
393,394,1,11.6,13.6,31.0,16.1,558,2019-01-29,,0,2019,invierno,1,1,1,19.869041221066194
394,395,1,11.0,13.1,40.0,14.5,126,2019-01-30,,0,2019,invierno,1,2,1,11.29521086922712
395,396,1,16.0,19.1,42.0,17.5,324,2019-01-31,,0,2019,invierno,1,3,1,16.267449563951885
396,397,1,19.2,23.3,51.0,12.7,304,2019-02-01,,0,2019,invierno,2,4,1,15.88395332521087
397,398,2,16.4,19.9,67.0,12.5,190,2019-02-02,,0,2019,invierno,2,5,0,13.27891999200478
398,399,1,12.8,15.5,53.0,12.0,310,2019-02-03,,0,2019,invierno,2,6,0,16.00077930607412
399,400,2,10.8,13.6,78.0,8.2,384,2019-02-04,,0,2019,invierno,2,0,1,17.328135404690276
400,401,2,10.9,13.2,69.0,11.8,318,2019-02-05,,0,2019,invierno,2,1,1,16.154152506905422
401,402,1,11.6,14.8,62.0,10.3,206,2019-02-06,,0,2019,invierno,2,2,1,13.700269275640977
402,403,1,14.5,18.1,50.0,9.9,199,2019-02-07,,0,2019,invierno,2,3,1,13.518803186106753
403,404,2,10.5,13.3,72.0,9.0,109,2019-02-08,,0,2019,invierno,2,4,1,10.653786062011257
404,405,1,10.9,13.1,56.0,13.0,163,2019-02-09,,0,2019,invierno,2,5,0,12.508768561460084
405,406,2,11.5,14.7,54.0,7.8,227,2019-02-10,,0,2019,invierno,2,6,0,14.220410217109695
406,407,3,9.2,10.5,73.0,19.4,192,2019-02-11,,0,2019,invierno,2,0,1,13.332892012057785
407,408,1,5.2,5.1,46.0,12.76479452054794,73,2019-02-12,,0,2019,invierno,2,1,1,9.023587275838487
408,409,1,9.1,11.4,41.0,11.2,94,2019-02-13,,0,2019,invierno,2,2,1,10.027848426950573
409,410,2,13.1,16.7,51.0,9.5,135,2019-02-14,,0,2019,invierno,2,3,1,11.610896216048529
410,411,1,14.3,17.6,53.0,12.2,141,2019-02-15,,0,2019,invierno,2,4,1,11.813389829019998
411,412,2,13.0,16.5,75.0,6.1,74,2019-02-16,,0,2019,invierno,2,5,0,9.075634422036053
412,413,1,14.1,17.6,63.0,13.8,349,2019-02-17,,0,2019,invierno,2,6,0,16.724569505994513
413,414,1,14.2,17.8,53.0,12.8,1435,2019-02-18,Washington's Birthday,1,2019,invierno,2,0,0,27.782697036897115
414,415,2,11.5,13.3,52.0,17.0,618,2019-02-19,,0,2019,invierno,2,1,1,20.616574036363005
415,416,1,11.5,13.7,51.0,15.3,502,2019-02-20,,0,2019,invierno,2,2,1,19.11965961098823
416,417,1,11.8,14.8,59.0,13.8,163,2019-02-21,,0,2019,invierno,2,3,1,12.508768561460084
417,418,1,16.2,19.6,57.0,15.7,394,2019-02-22,,0,2019,invierno,2,4,1,17.49359116289115
418,419,1,18.6,22.2,55.0,12.8,516,2019-02-23,,0,2019,invierno,2,5,0,19.31219047959194
419,420,2,16.7,20.5,74.0,15.9,246,2019-02-24,,0,2019,invierno,2,6,0,14.663203062497052
420,421,1,11.9,12.8,40.0,12.76479452054794,317,2019-02-25,,0,2019,invierno,2,0,1,16.13512705387941
421,422,1,11.4,13.4,41.0,13.8,515,2019-02-26,,0,2019,invierno,2,1,1,19.298558271471887
422,423,1,15.0,17.9,49.0,18.0,253,2019-02-27,,0,2019,invierno,2,2,1,14.820399304452108
423,424,1,14.7,17.7,40.0,13.0,229,2019-02-28,,0,2019,invierno,2,3,1,14.26819352349966
424,425,1,19.9,23.8,62.0,15.2,325,2019-03-01,,0,2019,invierno,3,4,1,16.28619178229141
425,426,2,14.5,18.0,66.0,9.7,246,2019-03-02,,0,2019,invierno,3,5,0,14.663203062497052
426,427,2,17.0,20.7,62.0,10.8,956,2019-03-03,,0,2019,invierno,3,6,0,24.09235688677145
427,428,1,13.4,15.2,40.0,22.4,710,2019-03-04,,0,2019,invierno,3,0,1,21.67130856287786
428,429,1,10.0,12.1,51.0,15.3,203,2019-03-05,,0,2019,invierno,3,1,1,13.62302568669851
429,430,1,10.6,12.8,46.0,13.5,221,2019-03-06,,0,2019,invierno,3,2,1,14.075300062683299
430,431,1,16.6,19.3,51.0,23.2,432,2019-03-07,,0,2019,invierno,3,3,1,18.09718782281757
431,432,1,21.6,26.2,57.0,12.76479452054794,486,2019-03-08,,0,2019,invierno,3,4,1,18.895047390845665
432,433,2,16.8,19.9,41.0,12.76479452054794,447,2019-03-09,,0,2019,invierno,3,5,0,18.325392570647033
433,434,1,11.8,13.9,35.0,15.1,968,2019-03-10,,0,2019,invierno,3,6,0,24.198868608451622
434,435,1,14.8,18.0,48.0,14.9,1658,2019-03-11,,0,2019,invierno,3,0,1,29.212088494951814
435,436,1,19.1,23.0,49.0,13.9,838,2019-03-12,,0,2019,invierno,3,1,1,22.9924503079177
436,437,1,23.2,27.1,62.0,15.9,762,2019-03-13,,0,2019,invierno,3,2,1,22.226328788242366
437,438,1,23.5,27.4,51.0,7.7,997,2019-03-14,,0,2019,invierno,3,3,1,24.45257464224404
438,439,1,22.9,26.6,58.0,10.0,1005,2019-03-15,,0,2019,invierno,3,4,1,24.521667588204817
439,440,2,17.9,21.8,84.0,7.6,548,2019-03-16,,0,2019,invierno,3,5,0,19.739144572014773
440,441,2,21.1,25.3,76.0,7.4,3155,2019-03-17,,0,2019,invierno,3,6,0,36.42335973292572
441,442,2,19.4,23.2,81.0,8.5,2207,2019-03-18,,0,2019,invierno,3,0,1,32.23993117522535
442,443,1,22.3,26.6,73.0,10.9,982,2019-03-19,,0,2019,invierno,3,1,1,24.321990640981856
443,444,1,23.0,26.9,81.0,8.1,1051,2019-03-20,,0,2019,invierno,3,2,1,24.9117821253897
444,445,2,21.8,25.7,82.0,6.0,1122,2019-03-21,,0,2019,primavera,3,3,1,25.49148875343988
445,446,1,22.7,26.6,83.0,7.9,1334,2019-03-22,,0,2019,primavera,3,4,1,27.084633767702908
446,447,2,24.7,28.5,69.0,7.8,2469,2019-03-23,,0,2019,primavera,3,5,0,33.50327082627061
447,448,2,20.6,24.3,89.0,12.9,1033,2019-03-24,,0,2019,primavera,3,6,0,24.760554708315045
448,449,2,17.9,21.9,88.0,14.8,1532,2019-03-25,,0,2019,primavera,3,0,1,28.42198021121308
449,450,1,18.3,21.9,48.0,12.76479452054794,795,2019-03-26,,0,2019,primavera,3,1,1,22.565160043746044
450,451,1,13.3,15.8,29.0,12.5,531,2019-03-27,,0,2019,primavera,3,2,1,19.514527201180098
451,452,1,19.8,23.5,48.0,19.5,674,2019-03-28,,0,2019,primavera,3,3,1,21.27046662993764
452,453,1,20.3,24.1,44.0,21.4,834,2019-03-29,,0,2019,primavera,3,4,1,22.953347596990593
453,454,2,15.2,18.8,58.0,9.3,796,2019-03-30,,0,2019,primavera,3,5,0,22.575275355986328
454,455,2,17.4,21.1,74.0,16.8,2301,2019-03-31,,0,2019,primavera,3,6,0,32.704498267534206
455,456,2,17.5,20.9,68.0,11.5,2347,2019-04-01,,0,2019,primavera,4,0,1,32.92709295102222
456,457,1,17.8,21.4,50.0,20.9,1208,2019-04-02,,0,2019,primavera,4,1,1,26.160811910093877
457,458,1,19.1,23.1,40.0,6.7,1348,2019-04-03,,0,2019,primavera,4,2,1,27.183518099865907
458,459,1,22.2,26.7,47.0,12.1,1058,2019-04-04,,0,2019,primavera,4,3,1,24.970111695252918
459,460,1,17.8,21.6,37.0,14.7,1192,2019-04-05,,0,2019,primavera,4,4,1,26.03882734820673
460,461,1,16.5,19.5,38.0,20.1,1807,2019-04-06,,0,2019,primavera,4,5,0,30.094815653023783
461,462,1,17.9,21.3,25.0,18.4,3252,2019-04-07,,0,2019,primavera,4,6,0,36.7997775228126
462,463,1,20.5,24.6,28.0,15.6,2230,2019-04-08,,0,2019,primavera,4,0,1,32.35484071146578
463,464,1,20.1,23.8,32.0,24.0,905,2019-04-09,,0,2019,primavera,4,1,1,23.62913328272585
464,465,1,18.3,21.8,44.0,16.7,819,2019-04-10,,0,2019,primavera,4,2,1,22.805553072141805
465,466,1,14.3,16.9,47.0,19.8,482,2019-04-11,,0,2019,primavera,4,3,1,18.838101627313304
466,467,1,16.3,19.4,47.0,19.5,663,2019-04-12,,0,2019,primavera,4,4,1,21.145056629380793
467,468,1,18.1,21.6,41.0,10.4,1252,2019-04-13,,0,2019,primavera,4,5,0,26.490637984525883
468,469,1,20.3,24.4,50.0,12.8,2795,2019-04-14,,0,2019,primavera,4,6,0,34.95242433355225
469,470,1,24.9,28.7,51.0,15.1,2846,2019-04-15,,0,2019,primavera,4,0,1,35.16844227782097
470,471,1,27.2,30.7,56.0,19.1,1198,2019-04-16,,0,2019,primavera,4,1,1,26.08470277573263
471,472,1,24.9,29.9,39.0,18.3,989,2019-04-17,,0,2019,primavera,4,2,1,24.383099323185924
472,473,2,19.0,22.9,57.0,11.3,347,2019-04-18,,0,2019,primavera,4,3,1,16.688844923276605
473,474,1,20.4,24.7,61.0,4.4,846,2019-04-19,,0,2019,primavera,4,4,1,23.070272263845283
474,475,1,21.6,25.8,69.0,10.0,1340,2019-04-20,,0,2019,primavera,4,5,0,27.127099747302395
475,476,1,23.4,27.1,68.0,19.0,2541,2019-04-21,,0,2019,primavera,4,6,0,33.83417044797426
476,477,3,16.3,19.5,84.0,23.1,120,2019-04-22,,0,2019,primavera,4,0,1,11.076034853721117
477,478,2,13.2,15.1,77.0,20.3,195,2019-04-23,,0,2019,primavera,4,1,1,13.413129686804043
478,479,1,17.0,20.3,45.0,16.7,518,2019-04-24,,0,2019,primavera,4,2,1,19.339400479441093
479,480,1,19.5,23.5,43.0,8.0,655,2019-04-25,,0,2019,primavera,4,3,1,21.052947610251845
480,481,2,20.4,24.2,76.0,11.8,475,2019-04-26,,0,2019,primavera,4,4,1,18.737659407525854
481,482,1,18.8,22.6,40.0,23.3,1014,2019-04-27,,0,2019,primavera,4,5,0,24.598946471932145
482,483,2,15.4,18.9,49.0,8.7,1120,2019-04-28,,0,2019,primavera,4,6,0,25.47550963067842
483,484,1,18.8,22.5,59.0,7.8,2229,2019-04-29,,0,2019,primavera,4,0,1,32.34986163739344
484,485,2,19.0,22.9,57.0,11.5,665,2019-04-30,,0,2019,primavera,4,1,1,21.167964329490268
485,486,2,25.2,28.9,66.0,10.5,653,2019-05-01,,0,2019,primavera,5,2,1,21.029799569692006
486,487,1,23.1,26.9,80.0,9.2,667,2019-05-02,,0,2019,primavera,5,3,1,21.190824693205215
487,488,2,23.0,26.9,77.0,9.0,764,2019-05-03,,0,2019,primavera,5,4,1,22.247148230658432
488,489,1,25.7,29.5,74.0,10.9,1069,2019-05-04,,0,2019,primavera,5,5,0,25.061238508488632
489,490,2,25.5,29.2,76.0,10.3,2496,2019-05-05,,0,2019,primavera,5,6,0,33.628126344135325
490,491,2,23.1,27.3,74.0,10.0,2135,2019-05-06,,0,2019,primavera,5,0,1,31.87480202668813
491,492,2,22.0,26.4,66.0,15.5,1008,2019-05-07,,0,2019,primavera,5,1,1,24.547479911540727
492,493,2,23.8,27.9,69.0,19.8,738,2019-05-08,,0,2019,primavera,5,2,1,21.973512618913848
493,494,2,23.6,27.7,74.0,14.5,620,2019-05-09,,0,2019,primavera,5,3,1,20.640614535393613
494,495,1,20.7,24.6,55.0,21.0,1026,2019-05-10,,0,2019,primavera,5,4,1,24.70125456902106
495,496,1,21.9,26.0,36.0,15.9,1319,2019-05-11,,0,2019,primavera,5,5,0,26.97789098897785
496,497,1,23.1,27.2,48.0,8.2,2622,2019-05-12,,0,2019,primavera,5,6,0,34.19881237702311
497,498,1,25.1,29.3,58.0,15.1,2172,2019-05-13,,0,2019,primavera,5,0,1,32.06347789586011
498,499,2,23.5,27.5,79.0,14.3,342,2019-05-14,,0,2019,primavera,5,1,1,16.598909600257397
499,500,2,25.1,28.8,79.0,9.9,625,2019-05-15,,0,2019,primavera,5,2,1,20.70048331921915
500,501,1,26.1,29.8,70.0,8.2,991,2019-05-16,,0,2019,primavera,5,3,1,24.40050428477717
501,502,1,24.3,28.6,52.0,15.4,1242,2019-05-17,,0,2019,primavera,5,4,1,26.41638624261
502,503,1,23.1,27.6,52.0,9.2,1521,2019-05-18,,0,2019,primavera,5,5,0,28.350909517968855
503,504,1,24.6,28.3,46.0,5.6,3410,2019-05-19,,0,2019,primavera,5,6,0,37.39671052696428
504,505,1,25.4,29.2,53.0,17.0,2704,2019-05-20,,0,2019,primavera,5,0,1,34.560147535840194
505,506,2,24.5,28.3,81.0,15.6,630,2019-05-21,,0,2019,primavera,5,1,1,20.760023587497308
506,507,2,25.2,29.0,77.0,7.9,819,2019-05-22,,0,2019,primavera,5,2,1,22.805553072141805
507,508,2,25.5,29.2,77.0,6.8,766,2019-05-23,,0,2019,primavera,5,3,1,22.267930221589673
508,509,1,26.9,30.3,72.0,11.6,1059,2019-05-24,,0,2019,primavera,5,4,1,24.978422803040612
509,510,1,27.9,31.4,75.0,9.4,1417,2019-05-25,,0,2019,primavera,5,5,0,27.66082179810581
510,511,1,28.4,32.1,73.0,13.3,2855,2019-05-26,,0,2019,primavera,5,6,0,35.20628611500822
511,512,1,28.3,32.1,70.0,14.4,3283,2019-05-27,Memorial Day,1,2019,primavera,5,0,0,36.91844563898211
512,513,1,29.2,34.0,68.0,13.2,2557,2019-05-28,,0,2019,primavera,5,1,1,33.90682554992573
513,514,1,29.6,33.6,68.0,19.8,880,2019-05-29,,0,2019,primavera,5,2,1,23.395481867885813
514,515,2,26.9,30.6,67.0,9.0,745,2019-05-30,,0,2019,primavera,5,3,1,22.04782764273909
515,516,1,27.9,31.6,49.0,13.1,1100,2019-05-31,,0,2019,primavera,5,4,1,25.3146284579597
516,517,2,26.8,30.4,76.0,15.9,533,2019-06-01,,0,2019,primavera,6,5,0,19.541207179124484
517,518,1,23.9,28.3,55.0,12.5,2795,2019-06-02,,0,2019,primavera,6,6,0,34.95242433355225
518,519,1,24.7,28.8,49.0,12.3,2494,2019-06-03,,0,2019,primavera,6,0,1,33.61890973357681
519,520,1,24.5,28.9,49.0,19.1,1071,2019-06-04,,0,2019,primavera,6,1,1,25.077737645991387
520,521,2,22.2,26.3,61.0,14.0,968,2019-06-05,,0,2019,primavera,6,2,1,24.198868608451622
521,522,1,22.7,27.1,61.0,5.2,1027,2019-06-06,,0,2019,primavera,6,3,1,24.709743019528393
522,523,1,24.7,28.5,57.0,10.5,1038,2019-06-07,,0,2019,primavera,6,4,1,24.80274294696482
523,524,1,26.6,29.9,47.0,11.8,1488,2019-06-08,,0,2019,primavera,6,5,0,28.135553480540658
524,525,1,29.1,32.4,44.0,9.7,2708,2019-06-09,,0,2019,primavera,6,6,0,34.57757972038729
525,526,1,29.8,33.2,54.0,9.0,2224,2019-06-10,,0,2019,primavera,6,0,1,32.324943194818445
526,527,2,29.6,33.0,59.0,13.9,1017,2019-06-11,,0,2019,primavera,6,1,1,24.62460123505955
527,528,2,26.8,29.9,83.0,14.4,477,2019-06-12,,0,2019,primavera,6,2,1,18.7664604919159
528,529,1,26.9,30.6,58.0,23.0,1173,2019-06-13,,0,2019,primavera,6,3,1,25.892499050187762
529,530,1,26.6,31.2,57.0,17.0,1180,2019-06-14,,0,2019,primavera,6,4,1,25.9465978400667
530,531,1,26.2,30.0,59.0,11.8,1563,2019-06-15,,0,2019,primavera,6,5,0,28.620400318031457
531,532,1,25.9,29.7,50.0,11.2,2963,2019-06-16,,0,2019,primavera,6,6,0,35.65414071945312
532,533,1,24.3,28.6,60.0,9.7,2634,2019-06-17,,0,2019,primavera,6,0,1,34.252171664383866
533,534,2,23.3,27.2,78.0,11.7,653,2019-06-18,,0,2019,primavera,6,1,1,21.029799569692006
534,535,1,28.2,32.7,69.0,9.9,968,2019-06-19,,0,2019,primavera,6,2,1,24.198868608451622
535,536,1,32.1,36.0,59.0,7.6,872,2019-06-20,,0,2019,primavera,6,3,1,23.319750192542735
536,537,1,33.0,37.6,57.0,8.0,778,2019-06-21,,0,2019,verano,6,4,1,22.3918448398277
537,538,1,31.9,36.2,57.0,12.3,964,2019-06-22,,0,2019,verano,6,5,0,24.163466118090938
538,539,1,30.0,32.6,53.0,12.0,2657,2019-06-23,,0,2019,verano,6,6,0,34.35397811153608
539,540,1,30.5,33.7,48.0,9.8,2551,2019-06-24,,0,2019,verano,6,0,1,33.879616628478686
540,541,1,29.4,32.7,50.0,20.1,1139,2019-06-25,,0,2019,verano,6,1,1,25.626526703614285
541,542,1,25.9,29.7,37.0,23.3,1077,2019-06-26,,0,2019,verano,6,2,1,25.12710825887398
542,543,1,28.6,32.0,36.0,18.2,1077,2019-06-27,,0,2019,verano,6,3,1,25.12710825887398
543,544,1,30.7,33.8,42.0,11.5,921,2019-06-28,,0,2019,verano,6,4,1,23.776349287746303
