,registro,clima,temperatura,sens_termica,humedad,viento,registrados,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
0,1,2,-0.8289480364326732,-0.6786352886668973,1.2951307968222954,-0.3765454325302844,654,2018-01-01,New Year's Day,1,2018,invierno,1,0,0
1,2,2,-0.7223121376537223,-0.7400342625566471,0.5074065450904565,0.8821096214008606,670,2018-01-02,,0,2018,invierno,1,1,1
2,3,1,-1.6420467646221735,-1.7469774343485425,-1.354487140821163,0.8611320371686753,1229,2018-01-03,,0,2018,invierno,1,2,1
3,4,1,-1.6153877899274358,-1.611899691791093,-0.28031770664138256,-0.3765454325302844,1454,2018-01-04,,0,2018,invierno,1,3,1
4,5,1,-1.4687634291063782,-1.5013815387895435,-1.354487140821163,0.0010510836490592388,1518,2018-01-05,,0,2018,invierno,1,4,1
5,6,1,-1.588728815232698,-1.4768219492336438,-0.7815967759252801,-1.3624918914430144,1518,2018-01-06,,0,2018,invierno,1,5,0
6,7,2,-1.6287172772748046,-1.636459281346993,-0.9248193671492508,-0.2506799271371696,1362,2018-01-07,,0,2018,invierno,1,6,0
7,8,2,-1.8020006127905996,-1.9188945612398418,-0.6383741847013094,1.1338406321870893,891,2018-01-08,,0,2018,invierno,1,0,1
8,9,1,-1.9486249736116572,-2.2013298411326905,-1.4260984364331484,2.4764060230469775,768,2018-01-09,,0,2018,invierno,1,1,1
9,10,1,-1.881977536874813,-1.9925733299075414,-1.0680419583732215,0.5254906894537029,1280,2018-01-10,,0,2018,invierno,1,2,1
10,11,2,-1.7886711254432308,-1.7346976395705926,0.43579524947847104,-0.9009850383349282,1220,2018-01-11,,0,2018,invierno,1,3,1
11,12,1,-1.7620121507484932,-1.9311743560177916,-0.20870641102939722,1.6582802379917332,1137,2018-01-12,,0,2018,invierno,1,4,1
12,13,1,-1.8020006127905996,-1.9925733299075414,-1.139653253985207,1.6163250695273617,1368,2018-01-13,,0,2018,invierno,1,5,0
13,14,1,-1.8286595874853375,-1.7592572291264923,-0.6383741847013094,-0.8380522856383708,1367,2018-01-14,,0,2018,invierno,1,6,0
14,15,2,-1.4287749670642718,-1.390863385787994,-0.9248193671492508,-0.39752301676247004,1026,2018-01-15,Martin Luther King Jr. Day,1,2018,invierno,1,0,0
15,16,1,-1.4421044544116406,-1.4768219492336438,-1.0680419583732215,0.022028667881244912,953,2018-01-16,,0,2018,invierno,1,1,1
16,17,2,-1.7486826634011243,-1.832935997794192,-0.6383741847013094,0.10593900480998798,883,2018-01-17,,0,2018,invierno,1,2,1
17,18,2,-1.5220813784958538,-1.4891017440115937,1.6531872748822223,-0.5653436906199558,674,2018-01-18,,0,2018,invierno,1,3,1
18,19,2,-1.1088672707274192,-1.0838685163392454,0.7938517275383978,0.3157148471318455,1572,2018-01-19,,0,2018,invierno,1,4,1
19,20,2,-1.2821506062432144,-1.3417442066761942,-0.6383741847013094,0.12691658904217365,1844,2018-01-20,,0,2018,invierno,1,5,0
20,21,1,-1.7353531760537553,-1.9434541507957415,-1.2112645495971923,2.350540517653863,1468,2018-01-21,,0,2018,invierno,1,6,0
21,22,1,-2.3884980560748295,-2.4223661471357896,-1.6409323232691044,-0.20872475867279824,888,2018-01-22,,0,2018,invierno,1,0,1
22,23,1,-2.1752262585169277,-2.31184799413424,-1.354487140821163,0.8401544529364892,836,2018-01-23,,0,2018,invierno,1,1,1
23,24,1,-2.1752262585169277,-2.189050046354741,-0.9964306627612363,-0.39752301676247004,1330,2018-01-24,,0,2018,invierno,1,2,1
24,25,2,-1.4820929164537473,-1.4768219492336438,-0.06548381980542649,-0.7960971171739993,1799,2018-01-25,,0,2018,invierno,1,3,1
25,26,3,-1.5220813784958538,-1.661018870902893,1.6531872748822223,1.511437148366433,472,2018-01-26,,0,2018,invierno,1,4,1
26,27,1,-1.6420467646221735,-1.5627805126792933,0.43579524947847104,-1.0268505437280426,416,2018-01-27,,0,2018,invierno,1,5,0
27,28,2,-1.6020583025800668,-1.5382209231233934,1.1519082055983247,-0.8800074541027421,1129,2018-01-28,,0,2018,invierno,1,6,0
28,29,1,-1.6287172772748046,-1.611899691791093,0.1493500670305296,-0.5863212748521419,975,2018-01-29,,0,2018,invierno,1,0,1
29,30,1,-1.5220813784958538,-1.3785835910100441,0.6506291363144272,-1.5722677337648718,956,2018-01-30,,0,2018,invierno,1,1,1
30,31,2,-1.7220236887063864,-1.7715370239044423,-0.20870641102939722,0.0010510836490592388,1459,2018-01-31,,0,2018,invierno,1,2,1
31,32,2,-1.6553762519695423,-1.4768219492336438,1.4383533880462662,-1.8659539130154725,1313,2018-02-01,,0,2018,invierno,2,3,1
32,33,2,-1.2821506062432144,-1.3540240014541443,1.0802969099863393,1.091885463722718,1454,2018-02-02,,0,2018,invierno,2,4,1
33,34,1,-1.6820352266642802,-1.820656203016242,-1.354487140821163,1.2806837218123903,1489,2018-02-03,,0,2018,invierno,2,5,0
34,35,2,-1.5487403531905914,-1.5136613335674935,-0.28031770664138256,-0.817074701406185,1620,2018-02-04,,0,2018,invierno,2,6,0
35,36,2,-1.4287749670642718,-1.415422975343894,2.15446634416612,-0.35556784829809834,905,2018-02-05,,0,2018,invierno,2,0,1
36,37,1,-1.148855732769526,-1.1207079006730953,-0.4235402978653533,-0.6282764433165132,1269,2018-02-06,,0,2018,invierno,2,1,1
37,38,1,-1.2288326568537389,-1.0470291320053957,0.7938517275383978,-1.991819418408587,1592,2018-02-07,,0,2018,invierno,2,2,1
38,39,1,-1.508751891148485,-1.6978582552367427,-0.6383741847013094,2.4764060230469775,1466,2018-02-08,,0,2018,invierno,2,3,1
39,40,2,-1.9752839483063949,-2.029412714241391,-0.9964306627612363,0.043006252113430586,1552,2018-02-09,,0,2018,invierno,2,4,1
40,41,1,-1.9219659989169193,-1.9925733299075414,-1.354487140821163,0.5045131052215173,1491,2018-02-10,,0,2018,invierno,2,5,0
41,42,1,-1.6687057393169111,-1.5996198970131432,-0.8532080715372655,-1.0897832964245997,1597,2018-02-11,,0,2018,invierno,2,6,0
42,43,1,-1.4954224038011161,-1.4891017440115937,-0.6383741847013094,0.23180451020310242,1184,2018-02-12,,0,2018,invierno,2,0,1
43,44,1,-0.9755723972537306,-0.9242311842258962,-1.2112645495971923,1.0499302952583467,1192,2018-02-13,,0,2018,invierno,2,1,1
44,45,1,-0.44239290335897635,-0.4698787774417483,-1.7841549144930753,0.05659857723921558,1705,2018-02-14,,0,2018,invierno,2,2,1
45,46,1,-1.2554916315484765,-1.3540240014541443,-2.2854339837769726,1.4694819799020618,1675,2018-02-15,,0,2018,invierno,2,3,1
46,47,1,-0.9755723972537306,-0.9733503633376958,-1.4977097320451338,0.9240647898652319,1897,2018-02-16,,0,2018,invierno,2,4,1
47,48,1,-0.32242751723265684,-0.2856818557724991,-0.9248193671492508,0.609401026382446,2216,2018-02-17,,0,2018,invierno,2,5,0
48,49,1,0.14410453992525318,0.23006952490139898,-0.7815967759252801,1.091885463722718,2348,2018-02-18,,0,2018,invierno,2,6,0
49,50,1,-0.5223698274431897,-0.5067181617755978,-0.010451029615941779,0.05659857723921558,1103,2018-02-19,Washington's Birthday,1,2018,invierno,2,0,0
50,51,1,-1.148855732769526,-1.2066664641187448,-1.5693210276571192,0.5254906894537029,1173,2018-02-20,,0,2018,invierno,2,1,1
51,52,2,-1.0555493213379437,-1.169827079784895,-0.20870641102939722,1.7002354064561052,912,2018-02-21,,0,2018,invierno,2,2,1
52,53,1,-1.7086942013590178,-1.7715370239044423,-0.35192900225336793,0.12691658904217365,1376,2018-02-22,,0,2018,invierno,2,3,1
53,54,1,-1.4954224038011161,-1.403143180565944,-1.4977097320451338,-1.2995591387464571,1778,2018-02-23,,0,2018,invierno,2,4,1
54,55,2,-1.0955377833800504,-1.1329876954510452,0.5074065450904565,0.9030872056330466,1707,2018-02-24,,0,2018,invierno,2,5,0
55,56,2,-0.7223121376537223,-0.7645938521125468,0.5790178407024418,2.2456525964929344,1341,2018-02-25,,0,2018,invierno,2,6,0
56,57,1,-1.1621852201168947,-1.182106874562845,-0.6383741847013094,0.0010510836490592388,1545,2018-02-26,,0,2018,invierno,2,0,1
57,58,1,-0.8289480364326732,-0.7523140573345967,0.3641839538664857,-0.8590298698705564,1708,2018-02-27,,0,2018,invierno,2,1,1
58,59,2,-0.482381365401083,-0.45759898266379817,1.796409866106193,1.4485043956698755,1365,2018-02-28,,0,2018,invierno,2,2,1
59,60,1,-1.2554916315484765,-1.2926250275643947,-0.6383741847013094,0.4206027682927742,1714,2018-03-01,,0,2018,invierno,3,3,1
60,61,1,-0.8822659858221487,-0.948790773781796,-1.2828758452091777,1.7002354064561052,1903,2018-03-02,,0,2018,invierno,3,4,1
61,62,1,-1.6287172772748046,-1.6855784604587927,-2.2138226881649876,0.5464682736858887,1562,2018-03-03,,0,2018,invierno,3,5,0
62,63,2,-1.2821506062432144,-1.3417442066761942,-0.13709511541741184,0.23180451020310242,1730,2018-03-04,,0,2018,invierno,3,6,0
63,64,2,-0.6023467515274025,-0.5926767252212477,1.1519082055983247,0.9240647898652319,1437,2018-03-05,,0,2018,invierno,3,0,1
64,65,2,-0.655664700916878,-0.6663554938889472,2.2976889353900907,2.203697428028563,491,2018-03-06,,0,2018,invierno,3,1,1
65,66,1,-1.2821506062432144,-1.4522623596777438,-0.566762889089324,2.182719843796377,1628,2018-03-07,,0,2018,invierno,3,2,1
66,67,1,-1.1088672707274192,-1.0593089267833455,-1.4977097320451338,-0.9219626225671138,1817,2018-03-08,,0,2018,invierno,3,3,1
67,68,2,-1.0955377833800504,-1.157547285006945,1.0802969099863393,0.4835355209893316,1700,2018-03-09,,0,2018,invierno,3,4,1
68,69,3,-0.5756877768326649,-0.5435575461094477,-0.010451029615941779,1.0499302952583467,577,2018-03-10,,0,2018,invierno,3,5,0
69,70,2,-0.9755723972537306,-1.0470291320053957,0.1493500670305296,0.6513561948468174,1730,2018-03-11,,0,2018,invierno,3,6,0
70,71,1,-0.9089249605168863,-0.9119513894479461,-0.28031770664138256,0.4835355209893316,1408,2018-03-12,,0,2018,invierno,3,0,1
71,72,1,-0.6023467515274025,-0.5803969304432977,-0.7099854803132948,1.1757958006514615,1435,2018-03-13,,0,2018,invierno,3,1,1
72,73,1,-0.935583935211624,-0.8751120051140961,-0.9248193671492508,-0.6912091960130706,1687,2018-03-14,,0,2018,invierno,3,2,1
73,74,2,-0.9755723972537306,-0.9610705685597459,0.22096136264251498,-0.04090408481531211,1767,2018-03-15,,0,2018,invierno,3,3,1
74,75,2,-0.7089826503063534,-0.6663554938889472,1.0802969099863393,0.23180451020310242,1871,2018-03-16,,0,2018,invierno,3,4,1
75,76,1,-0.44239290335897635,-0.39620000877404843,-0.20870641102939722,0.3157148471318455,2320,2018-03-17,,0,2018,invierno,3,5,0
76,77,1,0.23741095135683557,0.3283078831249982,-0.7099854803132948,0.6303786106146317,2355,2018-03-18,,0,2018,invierno,3,6,0
77,78,1,-0.12248520702212395,-0.052365754991449874,-1.7841549144930753,2.5603163599757206,1693,2018-03-19,,0,2018,invierno,3,0,1
78,79,1,-0.8955954731695175,-0.9119513894479461,-1.139653253985207,0.2947372628996598,1424,2018-03-20,,0,2018,invierno,3,1,1
79,80,2,-0.362415979274763,-0.39620000877404843,0.7938517275383978,1.4275268114376902,1676,2018-03-21,,0,2018,primavera,3,2,1
80,81,1,-0.29576854253791873,-0.21200308710479926,-0.06548381980542649,0.5464682736858887,2243,2018-03-22,,0,2018,primavera,3,3,1
81,82,2,-0.8156185490853044,-0.8382726207802467,1.5099646836582514,0.672333779079003,1918,2018-03-23,,0,2018,primavera,3,4,1
82,83,2,-1.148855732769526,-1.2557856432305448,1.2951307968222954,0.7981992844721179,1699,2018-03-24,,0,2018,primavera,3,5,0
83,84,1,-1.2688211188958454,-1.3417442066761942,-0.9248193671492508,0.6303786106146317,1910,2018-03-25,,0,2018,primavera,3,6,0
84,85,1,-1.2554916315484765,-1.3294644118982444,-1.7125436188810899,0.3157148471318455,1515,2018-03-26,,0,2018,primavera,3,0,1
85,86,2,-1.322139068285321,-1.3785835910100441,-0.9964306627612363,-0.04090408481531211,1221,2018-03-27,,0,2018,primavera,3,1,1
86,87,1,-1.2688211188958454,-1.3294644118982444,-2.357045279388958,0.3576700155962168,1806,2018-03-28,,0,2018,primavera,3,2,1
87,88,1,-1.0555493213379437,-1.1207079006730953,-2.2854339837769726,0.5674458579180743,2108,2018-03-29,,0,2018,primavera,3,3,1
88,89,2,-1.0688788086853125,-1.0838685163392454,0.1493500670305296,-0.18774717444061256,1368,2018-03-30,,0,2018,primavera,3,4,1
89,90,3,-1.2421621442011077,-1.3294644118982444,2.0828550485541344,0.4415803525249599,1506,2018-03-31,,0,2018,primavera,3,5,0
90,91,2,-1.0688788086853125,-1.169827079784895,0.43579524947847104,1.0079751267939754,1920,2018-04-01,,0,2018,primavera,4,6,0
91,92,2,-0.9889018846010994,-0.9733503633376958,0.1493500670305296,0.14789417327435933,1354,2018-04-02,,0,2018,primavera,4,0,1
92,93,1,-0.6423352135695092,-0.5926767252212477,-1.0680419583732215,-0.06188166904749816,1598,2018-04-03,,0,2018,primavera,4,1,1
93,94,1,0.42402377421999937,0.41426644657064815,-1.4260984364331484,0.05659857723921558,2381,2018-04-04,,0,2018,primavera,4,2,1
94,95,2,-0.44239290335897635,-0.4698787774417483,0.07773877141854424,0.05659857723921558,1628,2018-04-05,,0,2018,primavera,4,3,1
95,96,1,-0.5756877768326649,-0.531277751331498,-1.139653253985207,1.0709078794905327,2395,2018-04-06,,0,2018,primavera,4,4,1
96,97,1,-0.32242751723265684,-0.24884247143864918,-0.20870641102939722,-0.3345902640659127,2570,2018-04-07,,0,2018,primavera,4,5,0
97,98,2,-0.8689364984747796,-0.9242311842258962,1.5099646836582514,0.5674458579180743,1299,2018-04-08,,0,2018,primavera,4,6,0
98,99,2,-0.8422775237800421,-0.8137130312243465,1.796409866106193,-0.7541419487096277,1576,2018-04-09,,0,2018,primavera,4,0,1
99,100,2,-0.37574546662213204,-0.29796165055044876,1.6531872748822223,-0.5653436906199558,1707,2018-04-10,,0,2018,primavera,4,1,1
100,101,2,0.5439891603463188,0.5616239839060474,0.6506291363144272,1.930988833010148,2493,2018-04-11,,0,2018,primavera,4,2,1
101,102,2,0.0374686411463027,0.1195513718998492,0.7938517275383978,1.2387285533480181,1777,2018-04-12,,0,2018,primavera,4,3,1
102,103,2,-0.4557223907063454,-0.34708082966224885,1.3667420924342808,0.9030872056330466,1953,2018-04-13,,0,2018,primavera,4,4,1
103,104,1,-0.14914418171686158,-0.07692534454734967,-0.6383741847013094,-1.068805712192414,2738,2018-04-14,,0,2018,primavera,4,5,0
104,105,1,-0.2691095678431811,-0.19972329232684913,0.29257265825450035,0.5674458579180743,2484,2018-04-15,,0,2018,primavera,4,6,0
105,106,3,-0.34908649192739444,-0.29796165055044876,1.8680211617181783,2.1617422595641913,674,2018-04-16,,0,2018,primavera,4,0,1
106,107,1,-0.21579161845370587,-0.17516370277094934,-1.0680419583732215,1.6373026537595479,2186,2018-04-17,,0,2018,primavera,4,1,1
107,108,1,0.09078659053577794,0.18095034578959893,-0.6383741847013094,-0.313612679833727,2760,2018-04-18,,0,2018,primavera,4,2,1
108,109,2,0.050798128493671275,0.0949917823439494,0.29257265825450035,-0.39752301676247004,2795,2018-04-19,,0,2018,primavera,4,3,1
109,110,1,0.5439891603463188,0.5493441891280973,-0.13709511541741184,0.7772217002399318,3331,2018-04-20,,0,2018,primavera,4,4,1
110,111,1,-0.20246213110633682,-0.12604452365914973,-1.5693210276571192,1.951966417242334,3444,2018-04-21,,0,2018,primavera,4,5,0
111,112,2,-0.8689364984747796,-0.9365109790038458,0.7222404319264125,0.46255793675714557,1506,2018-04-22,,0,2018,primavera,4,6,0
112,113,2,-0.18913264375896824,-0.15060411321504952,1.8680211617181783,0.6303786106146317,2574,2018-04-23,,0,2018,primavera,4,0,1
113,114,2,0.464012236262106,0.4756654204603979,1.2951307968222954,0.08496142057780232,2481,2018-04-24,,0,2018,primavera,4,1,1
114,115,1,0.6106365970831632,0.610743163017847,1.0802969099863393,-0.019926500583126436,3300,2018-04-25,,0,2018,primavera,4,2,1
115,116,1,0.7439314705568517,0.7335411107973465,0.7222404319264125,1.9729440014745194,3722,2018-04-26,,0,2018,primavera,4,3,1
116,117,2,0.6772840338200075,0.6230229577957972,1.5099646836582514,1.7631681591526618,3325,2018-04-27,,0,2018,primavera,4,4,1
117,118,2,0.6639545464726389,0.6353027525737468,0.5074065450904565,1.8890336645457766,3489,2018-04-28,,0,2018,primavera,4,5,0
118,119,1,0.0774571031884089,0.144110961455749,-1.2112645495971923,0.7562441160077465,3717,2018-04-29,,0,2018,primavera,4,6,0
119,120,1,-0.12248520702212395,-0.0646455497694,-0.9248193671492508,0.6933113633111891,3347,2018-04-30,,0,2018,primavera,4,0,1
120,121,2,-0.24245059314844347,-0.16288390799299965,0.9370743187623686,-1.1317384648889712,2213,2018-05-01,,0,2018,primavera,5,1,1
121,122,2,0.2907289007463108,0.3528674726808984,0.7222404319264125,-0.04090408481531211,3554,2018-05-02,,0,2018,primavera,5,2,1
122,123,2,0.6639545464726389,0.6598623421296471,0.5074065450904565,2.203697428028563,3848,2018-05-03,,0,2018,primavera,5,3,1
123,124,2,-0.44239290335897635,-0.43303939310789835,0.7938517275383978,1.9939215857067054,2378,2018-05-04,,0,2018,primavera,5,4,1
124,125,1,-0.20246213110633682,-0.19972329232684913,-1.354487140821163,1.532414732598619,3819,2018-05-05,,0,2018,primavera,5,5,0
125,126,1,-0.09582623232738587,-0.003246575879650264,-0.28031770664138256,0.5884234421502603,3714,2018-05-06,,0,2018,primavera,5,6,0
126,127,1,0.1307750525778846,0.23006952490139898,-0.6383741847013094,-0.35556784829809834,3102,2018-05-07,,0,2018,primavera,5,0,1
127,128,1,0.18409300196735984,0.26690890923524846,0.006127475806558878,-1.5722677337648718,2932,2018-05-08,,0,2018,primavera,5,1,1
128,129,1,0.1974224893147289,0.3160280883470485,-0.28031770664138256,-0.14579200597624087,3698,2018-05-09,,0,2018,primavera,5,2,1
129,130,1,0.1974224893147289,0.2914684987911487,-0.9964306627612363,-1.0058729594958566,4109,2018-05-10,,0,2018,primavera,5,3,1
130,131,1,0.25074043870420415,0.3283078831249982,0.006127475806558878,-0.9219626225671138,3632,2018-05-11,,0,2018,primavera,5,4,1
131,132,1,0.21075197666209747,0.3037482935690984,0.8654630231503833,0.043006252113430586,4169,2018-05-12,,0,2018,primavera,5,5,0
132,133,2,0.09078659053577794,0.1195513718998492,1.6531872748822223,-0.1038368375118695,3413,2018-05-13,,0,2018,primavera,5,6,0
133,134,2,0.14410453992525318,0.1563907562336991,2.0828550485541344,-0.7331643644774419,2507,2018-05-14,,0,2018,primavera,5,0,1
134,135,2,0.3707058248305241,0.3774270622367982,1.7247985704942077,-0.48143335369121315,2971,2018-05-15,,0,2018,primavera,5,1,1
135,136,1,0.450682748914737,0.4633856256824478,1.1519082055983247,-0.8380522856383708,3185,2018-05-16,,0,2018,primavera,5,2,1
136,137,2,0.35737633748315506,0.38970685701474794,1.5099646836582514,1.2806837218123903,3445,2018-05-17,,0,2018,primavera,5,3,1
137,138,2,0.30405838809367985,0.3283078831249982,1.7247985704942077,0.21082692597091673,3319,2018-05-18,,0,2018,primavera,5,4,1
138,139,2,0.1974224893147289,0.21778973012344885,1.4383533880462662,-1.0897832964245997,3840,2018-05-19,,0,2018,primavera,5,5,0
139,140,1,0.22408146400946652,0.3405876779029483,0.6506291363144272,-0.8590298698705564,4008,2018-05-20,,0,2018,primavera,5,6,0
140,141,1,0.5839776223884255,0.5984633682398973,0.006127475806558878,-0.9219626225671138,3547,2018-05-21,,0,2018,primavera,5,0,1
141,142,1,0.5973071097357946,0.610743163017847,0.8654630231503833,-0.5443661063877702,3084,2018-05-22,,0,2018,primavera,5,1,1
142,143,2,0.7439314705568517,0.7089815212414466,1.2951307968222954,0.672333779079003,3438,2018-05-23,,0,2018,primavera,5,2,1
143,144,2,0.9038853187252784,0.7949400846870962,0.7938517275383978,0.2947372628996598,3833,2018-05-24,,0,2018,primavera,5,3,1
144,145,1,0.9038853187252784,0.868618853354796,0.5074065450904565,-0.4604557694590271,4238,2018-05-25,,0,2018,primavera,5,4,1
145,146,1,1.1571455783252864,1.1019349541358452,0.3641839538664857,0.18984934173873105,3919,2018-05-26,,0,2018,primavera,5,5,0
146,147,1,1.023850704851598,1.0036965959122452,0.1493500670305296,0.7562441160077465,3808,2018-05-27,,0,2018,primavera,5,6,0
147,148,1,0.8772263440305403,0.8440592637988963,0.7222404319264125,0.609401026382446,2757,2018-05-28,Memorial Day,1,2018,primavera,5,0,0
148,149,1,0.9438737807673846,0.868618853354796,1.3667420924342808,0.37864759982840285,2433,2018-05-29,,0,2018,primavera,5,1,1
149,150,1,1.3037699391463442,1.2124531071373947,0.3641839538664857,-0.7751195329418133,2549,2018-05-30,,0,2018,primavera,5,2,1
150,151,1,1.5303712240516145,1.5440075661420427,0.07773877141854424,-1.0478281279602282,3309,2018-05-31,,0,2018,primavera,5,3,1
151,152,2,1.4637237873147704,1.5071681818081932,0.3641839538664857,0.2947372628996598,3461,2018-06-01,,0,2018,primavera,6,4,1
152,153,1,1.1971340403673931,1.0405359802460956,-2.357045279388958,1.4904595641342477,4232,2018-06-02,,0,2018,primavera,6,5,0
153,154,1,0.6772840338200075,0.6967017264634966,-1.9989888013290313,0.945042374097418,4414,2018-06-03,,0,2018,primavera,6,6,0
154,155,1,0.7572609579042208,0.7335411107973465,-1.2112645495971923,-0.8800074541027421,3473,2018-06-04,,0,2018,primavera,6,0,1
155,156,2,0.8372378819884341,0.868618853354796,0.1493500670305296,-0.6702316117808845,3221,2018-06-05,,0,2018,primavera,6,1,1
156,157,1,0.9971917301568604,0.905458237688646,-0.20870641102939722,-0.9009850383349282,3875,2018-06-06,,0,2018,primavera,6,2,1
157,158,1,1.1571455783252864,1.1142147489137946,-0.20870641102939722,0.022028667881244912,4070,2018-06-07,,0,2018,primavera,6,3,1
158,159,1,1.5303712240516145,1.5562873609199928,-0.06548381980542649,-0.6912091960130706,3725,2018-06-08,,0,2018,primavera,6,4,1
159,160,2,1.7036545595674097,1.740484282589242,-0.4235402978653533,-0.5233885221555845,3352,2018-06-09,,0,2018,primavera,6,5,0
160,161,1,1.4237353252726637,1.408929823584594,-0.20870641102939722,-0.6492540275486989,3771,2018-06-10,,0,2018,primavera,6,6,0
161,162,1,1.2504519897568684,1.2492924914712442,0.1493500670305296,-0.4394781852268414,3237,2018-06-11,,0,2018,primavera,6,0,1
162,163,1,1.0771686542410732,1.0405359802460956,0.8654630231503833,-0.313612679833727,2993,2018-06-12,,0,2018,primavera,6,1,1
163,164,1,0.7572609579042208,0.7826602899091465,-0.9964306627612363,1.6792578222239192,4157,2018-06-13,,0,2018,primavera,6,2,1
164,165,1,0.5973071097357946,0.7212613160193968,-0.8532080715372655,1.1548182164192755,4164,2018-06-14,,0,2018,primavera,6,3,1
165,166,1,0.7172724958621142,0.6967017264634966,-1.139653253985207,-0.2506799271371696,4411,2018-06-15,,0,2018,primavera,6,4,1
166,167,2,0.7306019832094832,0.7458209055752966,0.43579524947847104,0.27375967866747414,3222,2018-06-16,,0,2018,primavera,6,5,0
167,168,1,0.8372378819884341,0.7703804951311964,0.7938517275383978,-0.6072988590843276,3981,2018-06-17,,0,2018,primavera,6,6,0
168,169,1,1.1038276289358113,1.0405359802460956,0.29257265825450035,-0.9429402067992995,3312,2018-06-18,,0,2018,primavera,6,0,1
169,170,2,1.11715711628318,1.0528157750240448,0.29257265825450035,-1.1946712175855285,3105,2018-06-19,,0,2018,primavera,6,1,1
170,171,2,0.7572609579042208,0.7458209055752966,0.8654630231503833,-0.4394781852268414,3311,2018-06-20,,0,2018,primavera,6,2,1
171,172,2,1.0105212175042289,1.0036965959122452,1.008685614374354,-0.20872475867279824,4061,2018-06-21,,0,2018,verano,6,3,1
172,173,1,1.3037699391463442,1.3475308496948442,0.5790178407024418,-0.20872475867279824,3846,2018-06-22,,0,2018,verano,6,4,1
173,174,2,1.277110964451606,1.3475308496948442,0.5074065450904565,0.7352665317755605,4044,2018-06-23,,0,2018,verano,6,5,0
174,175,1,1.2504519897568684,1.1142147489137946,-0.4235402978653533,0.5045131052215173,4022,2018-06-24,,0,2018,verano,6,6,0
175,176,1,1.0904981415884423,1.0405359802460956,-1.0680419583732215,0.3157148471318455,3420,2018-06-25,,0,2018,verano,6,0,1
176,177,1,1.0105212175042289,1.0036965959122452,-0.8532080715372655,-1.2995591387464571,3385,2018-06-26,,0,2018,verano,6,1,1
177,178,2,1.023850704851598,1.0036965959122452,0.22096136264251498,-1.1107608806567855,3854,2018-06-27,,0,2018,verano,6,2,1
178,179,1,1.3570878885358193,1.335251054916894,0.006127475806558878,-0.5863212748521419,3916,2018-06-28,,0,2018,verano,6,3,1
179,180,1,1.277110964451606,1.1019349541358452,-0.9248193671492508,1.0499302952583467,4377,2018-06-29,,0,2018,verano,6,4,1
180,181,1,1.1038276289358113,1.0036965959122452,-1.4260984364331484,-0.019926500583126436,4488,2018-06-30,,0,2018,verano,6,5,0
